univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.0,0.3,0.0,0.7,7,10,43.97,23.02,1.91,1556.29,21.94,1.489
KP200+KQ150,0.0,0.3,0.0,0.7,10,14,47.46,22.3,2.128,1891.88,25.43,1.301
KP200+KQ150,0.0,0.3,0.05,0.65,3,4,37.53,30.18,1.244,1064.39,15.51,1.096
KP200+KQ150,0.0,0.3,0.05,0.65,5,7,42.32,29.98,1.412,1415.51,20.29,1.367
KP200+KQ150,0.0,0.3,0.05,0.65,7,10,51.45,25.87,1.989,2346.38,29.42,1.323
KP200+KQ150,0.0,0.3,0.05,0.65,10,14,47.33,23.8,1.989,1877.71,25.29,1.285
KP200+KQ150,0.0,0.3,0.1,0.6,3,4,49.32,28.46,1.733,2093.39,27.29,1.361
KP200+KQ150,0.0,0.3,0.1,0.6,5,7,56.23,24.25,2.319,3007.73,34.2,1.233
KP200+KQ150,0.0,0.3,0.1,0.6,7,10,52.48,25.63,2.047,2477.21,30.45,1.347
KP200+KQ150,0.0,0.3,0.1,0.6,10,14,45.51,25.03,1.818,1697.47,23.48,1.252
KP200+KQ150,0.0,0.3,0.15,0.55,3,4,56.07,30.76,1.823,2983.85,34.04,1.475
KP200+KQ150,0.0,0.3,0.15,0.55,5,7,58.29,24.6,2.369,3338.1,36.26,1.261
KP200+KQ150,0.0,0.3,0.15,0.55,7,10,40.98,24.9,1.645,1308.81,18.95,1.404
KP200+KQ150,0.0,0.3,0.15,0.55,10,14,42.67,25.68,1.662,1444.54,20.64,1.327
KP200+KQ150,0.0,0.3,0.2,0.5,3,4,55.06,29.38,1.874,2833.51,33.03,1.467
KP200+KQ150,0.0,0.3,0.2,0.5,5,7,62.09,24.92,2.491,4026.99,40.06,1.299
KP200+KQ150,0.0,0.3,0.2,0.5,7,10,48.01,26.23,1.83,1949.5,25.98,1.277
KP200+KQ150,0.0,0.3,0.2,0.5,10,14,42.65,24.03,1.775,1442.85,20.62,1.256
KP200+KQ150,0.0,0.3,0.25,0.45,3,4,55.87,39.22,1.425,2952.62,33.78,1.482
KP200+KQ150,0.0,0.3,0.25,0.45,5,7,66.43,24.23,2.741,4959.13,44.4,1.351
KP200+KQ150,0.0,0.3,0.25,0.45,7,10,48.45,27.89,1.737,1996.63,26.41,1.555
KP200+KQ150,0.0,0.3,0.25,0.45,10,14,43.84,24.96,1.757,1544.53,21.81,1.303
KP200+KQ150,0.0,0.3,0.3,0.4,3,4,54.3,30.0,1.81,2723.53,32.37,1.444
KP200+KQ150,0.0,0.3,0.3,0.4,5,7,51.51,25.04,2.057,2353.25,29.47,1.53
KP200+KQ150,0.0,0.3,0.3,0.4,7,10,47.15,25.68,1.836,1859.83,25.12,1.571
KP200+KQ150,0.0,0.3,0.3,0.4,10,14,45.15,24.32,1.857,1663.81,23.12,1.341
KP200+KQ150,0.0,0.3,0.35,0.35,3,4,55.27,36.56,1.512,2864.08,33.29,1.431
KP200+KQ150,0.0,0.3,0.35,0.35,5,7,46.91,28.97,1.619,1834.72,24.87,1.444
KP200+KQ150,0.0,0.3,0.35,0.35,7,10,47.24,24.79,1.905,1868.39,25.2,1.583
KP200+KQ150,0.0,0.3,0.35,0.35,10,14,50.48,23.87,2.115,2227.56,28.44,1.152
KP200+KQ150,0.0,0.3,0.4,0.3,3,4,50.9,40.7,1.25,2278.57,28.87,1.365
KP200+KQ150,0.0,0.3,0.4,0.3,5,7,52.66,33.82,1.557,2501.15,30.63,1.545
KP200+KQ150,0.0,0.3,0.4,0.3,7,10,58.26,23.96,2.431,3333.05,36.23,1.393
KP200+KQ150,0.0,0.3,0.4,0.3,10,14,50.93,25.57,1.992,2281.95,28.89,1.158
KP200+KQ150,0.0,0.3,0.45,0.25,3,4,53.45,31.52,1.696,2605.91,31.41,1.445
KP200+KQ150,0.0,0.3,0.45,0.25,5,7,50.05,24.92,2.009,2177.27,28.02,1.525
KP200+KQ150,0.0,0.3,0.45,0.25,7,10,58.08,24.5,2.37,3302.95,36.05,1.381
KP200+KQ150,0.0,0.3,0.45,0.25,10,14,48.64,24.66,1.973,2017.48,26.61,1.391
KP200+KQ150,0.0,0.3,0.5,0.2,3,4,60.93,28.66,2.126,3805.6,38.9,1.565
KP200+KQ150,0.0,0.3,0.5,0.2,5,7,50.39,26.67,1.889,2217.01,28.35,1.539
KP200+KQ150,0.0,0.3,0.5,0.2,7,10,61.75,26.16,2.36,3960.87,39.72,1.444
KP200+KQ150,0.0,0.3,0.5,0.2,10,14,51.79,22.99,2.253,2389.15,29.76,1.169
KP200+KQ150,0.0,0.3,0.55,0.15,3,4,55.81,30.55,1.827,2944.45,33.78,1.501
KP200+KQ150,0.0,0.3,0.55,0.15,5,7,51.57,25.62,2.013,2361.27,29.54,1.568
KP200+KQ150,0.0,0.3,0.55,0.15,7,10,61.05,23.8,2.565,3827.67,39.02,1.419
KP200+KQ150,0.0,0.3,0.55,0.15,10,14,51.99,22.72,2.288,2413.75,29.95,1.173
KP200+KQ150,0.0,0.3,0.6,0.1,3,4,56.03,28.88,1.941,2977.86,34.0,1.514
KP200+KQ150,0.0,0.3,0.6,0.1,5,7,53.42,25.62,2.085,2602.49,31.39,1.555
KP200+KQ150,0.0,0.3,0.6,0.1,7,10,61.74,23.7,2.604,3957.86,39.7,1.428
KP200+KQ150,0.0,0.3,0.6,0.1,10,14,54.63,21.95,2.489,2771.46,32.6,1.147
KP200+KQ150,0.0,0.3,0.65,0.05,3,4,51.33,30.67,1.673,2331.54,29.3,1.425
KP200+KQ150,0.0,0.3,0.65,0.05,5,7,60.51,23.96,2.525,3727.22,38.48,1.308
KP200+KQ150,0.0,0.3,0.65,0.05,7,10,64.94,23.08,2.814,4620.49,42.91,1.477
KP200+KQ150,0.0,0.3,0.65,0.05,10,14,52.94,21.5,2.462,2538.26,30.91,1.12
KP200+KQ150,0.0,0.3,0.7,0.0,3,4,42.83,30.15,1.42,1457.58,20.8,1.243
KP200+KQ150,0.0,0.3,0.7,0.0,5,7,61.05,24.4,2.501,3826.73,39.01,1.723
KP200+KQ150,0.0,0.3,0.7,0.0,7,10,65.52,25.6,2.559,4749.09,43.49,1.478
KP200+KQ150,0.0,0.3,0.7,0.0,10,14,52.6,21.5,2.446,2492.65,30.56,1.116
KP200+KQ150,0.0,0.35,0.0,0.65,3,4,41.52,29.78,1.394,1351.16,19.65,1.162
KP200+KQ150,0.0,0.35,0.0,0.65,5,7,45.28,32.89,1.377,1675.59,23.25,1.435
KP200+KQ150,0.0,0.35,0.0,0.65,7,10,44.79,24.76,1.809,1629.97,22.76,1.396
KP200+KQ150,0.0,0.35,0.0,0.65,10,14,46.12,23.18,1.99,1756.51,24.09,1.266
KP200+KQ150,0.0,0.35,0.05,0.6,3,4,40.88,34.18,1.196,1300.95,19.02,1.178
KP200+KQ150,0.0,0.35,0.05,0.6,5,7,48.2,25.26,1.908,1970.05,26.17,1.509
KP200+KQ150,0.0,0.35,0.05,0.6,7,10,42.28,26.81,1.577,1411.81,20.24,1.42
KP200+KQ150,0.0,0.35,0.05,0.6,10,14,44.42,24.25,1.832,1596.43,22.39,1.366
KP200+KQ150,0.0,0.35,0.1,0.55,3,4,48.28,28.43,1.698,1978.23,26.24,1.334
KP200+KQ150,0.0,0.35,0.1,0.55,5,7,55.37,26.25,2.109,2877.67,33.33,1.219
KP200+KQ150,0.0,0.35,0.1,0.55,7,10,44.83,25.14,1.783,1633.33,22.79,1.485
KP200+KQ150,0.0,0.35,0.1,0.55,10,14,37.09,26.95,1.376,1035.69,15.06,1.367
KP200+KQ150,0.0,0.35,0.15,0.5,3,4,58.41,27.11,2.155,3358.16,36.38,1.535
KP200+KQ150,0.0,0.35,0.15,0.5,5,7,53.52,23.06,2.32,2615.24,31.48,1.178
KP200+KQ150,0.0,0.35,0.15,0.5,7,10,49.93,24.63,2.027,2163.4,27.9,1.312
KP200+KQ150,0.0,0.35,0.15,0.5,10,14,34.7,26.94,1.288,891.6,12.66,1.304
KP200+KQ150,0.0,0.35,0.2,0.45,3,4,59.97,32.98,1.818,3628.58,37.93,1.531
KP200+KQ150,0.0,0.35,0.2,0.45,5,7,53.86,25.04,2.151,2661.96,31.82,1.571
KP200+KQ150,0.0,0.35,0.2,0.45,7,10,52.52,23.77,2.21,2483.02,30.49,1.366
KP200+KQ150,0.0,0.35,0.2,0.45,10,14,45.83,25.12,1.825,1727.78,23.79,1.122
KP200+KQ150,0.0,0.35,0.25,0.4,3,4,56.01,30.77,1.82,2974.37,33.92,1.46
KP200+KQ150,0.0,0.35,0.25,0.4,5,7,52.6,24.23,2.171,2493.14,30.57,1.558
KP200+KQ150,0.0,0.35,0.25,0.4,7,10,51.24,24.37,2.102,2320.37,29.21,1.371
KP200+KQ150,0.0,0.35,0.25,0.4,10,14,49.72,24.42,2.036,2139.16,27.69,1.139
KP200+KQ150,0.0,0.35,0.3,0.35,3,4,54.8,34.48,1.589,2794.82,32.76,1.422
KP200+KQ150,0.0,0.35,0.3,0.35,5,7,57.76,25.91,2.229,3249.31,35.72,1.266
KP200+KQ150,0.0,0.35,0.3,0.35,7,10,52.7,27.64,1.907,2506.74,30.67,1.409
KP200+KQ150,0.0,0.35,0.3,0.35,10,14,52.31,24.88,2.103,2455.88,30.28,1.183
