univ,v,q,g,m,slots,exit,cagr,mdd,calmar,total,alpha,sharpe
KP200+KQ150,0.3,0.1,0.4,0.2,5,7,35.09,38.44,0.913,914.32,13.06,1.243
KP200+KQ150,0.3,0.1,0.4,0.2,7,10,32.58,33.31,0.978,777.78,10.55,1.233
KP200+KQ150,0.3,0.1,0.4,0.2,10,14,39.25,23.4,1.678,1181.06,17.22,1.513
KP200+KQ150,0.3,0.1,0.5,0.1,3,4,42.76,35.65,1.199,1451.86,20.73,1.277
KP200+KQ150,0.3,0.1,0.5,0.1,5,7,27.36,37.84,0.723,544.0,5.32,1.034
KP200+KQ150,0.3,0.1,0.5,0.1,7,10,35.75,30.42,1.175,952.88,13.72,1.319
KP200+KQ150,0.3,0.1,0.5,0.1,10,14,43.21,21.5,2.01,1489.78,21.18,1.327
KP200+KQ150,0.3,0.1,0.6,0.0,3,4,45.95,37.29,1.232,1740.11,23.72,1.349
KP200+KQ150,0.3,0.1,0.6,0.0,5,7,37.53,36.81,1.02,1064.2,15.5,1.24
KP200+KQ150,0.3,0.1,0.6,0.0,7,10,43.22,28.08,1.539,1490.83,21.19,1.133
KP200+KQ150,0.3,0.1,0.6,0.0,10,14,40.7,21.05,1.933,1287.63,18.67,1.269
KP200+KQ150,0.3,0.2,0.0,0.5,3,4,25.06,33.11,0.757,459.78,3.39,0.856
KP200+KQ150,0.3,0.2,0.0,0.5,5,7,25.42,28.37,0.896,472.35,3.56,0.984
KP200+KQ150,0.3,0.2,0.0,0.5,7,10,29.44,25.59,1.15,629.7,7.55,1.163
KP200+KQ150,0.3,0.2,0.0,0.5,10,14,29.9,25.93,1.153,650.12,7.87,1.135
KP200+KQ150,0.3,0.2,0.1,0.4,3,4,29.73,34.98,0.85,642.53,7.78,0.974
KP200+KQ150,0.3,0.2,0.1,0.4,5,7,32.11,26.92,1.193,754.28,10.35,1.176
KP200+KQ150,0.3,0.2,0.1,0.4,7,10,38.29,24.51,1.562,1114.62,16.26,1.444
KP200+KQ150,0.3,0.2,0.1,0.4,10,14,36.06,25.06,1.439,971.79,14.03,1.369
KP200+KQ150,0.3,0.2,0.2,0.3,3,4,39.31,29.73,1.322,1185.65,17.6,1.207
KP200+KQ150,0.3,0.2,0.2,0.3,5,7,30.96,31.08,0.996,698.41,8.93,1.156
