종목코드,기준일,당기순이익,법인세비용,자산,총부채,유동부채,유동자산,비유동자산,현금,감가상각비,자본,매출액,매출총이익,영업현금흐름,종목명,시가총액,섹터,매출액_1y,당기순이익_1y,영업이익_1y,EBIT,매출성장률,순이익성장률,영업이익성장률,ROE,부채비율,영업이익률,모멘텀_3M,모멘텀_6M,매출성장률_z,순이익성장률_z,영업이익성장률_z,ROE_z,부채비율_z,영업이익률_z,모멘텀_3M_z,모멘텀_6M_z,성장성_점수,퀄리티_점수,모멘텀_점수,코스닥성장_점수,코스닥성장_순위
347850,2024-12-31,-295.0,-9.0,975.0,279.0,111.0,398.0,577.0,300.0,22.0,696.0,114.0,114.0,-218.0,디앤디파마텍,4353543000000,KOSDAQ,96.89999999999999,-236.0,0,0,17.647058823529417,25.0,0,-42.38505747126437,40.08620689655172,0.0,86.29454741936242,107.38532350018306,-0.8150972712773829,0.9949874371066199,0,-1.3462263065138793,0.3232074014165247,0,0.703414791386888,0.3495281540718701,0.05996338860974567,-0.3410063016991182,0.5264714727293791,0.11972187578386292,21.0
277810,2024-12-31,21.0,-8.0,1399.0,71.0,58.0,1140.0,259.0,685.0,8.0,1328.0,193.0,63.0,-19.0,레인보우로보틱스,14743892080000,KOSDAQ,164.04999999999998,16.8,0,0,17.647058823529417,25.0,0,1.5813253012048192,5.346385542168674,0.0,47.787610619469035,83.5164835164835,-0.8150972712773829,0.9949874371066199,0,0.14926502010093393,0.6160264704151016,0,0.14574770487405767,0.09734783265327708,0.05996338860974567,0.25509716350534517,0.12154776876366738,0.1174654576350421,22.0
166090,2024-12-31,318.0,91.0,5739.0,2201.0,1210.0,1373.0,4366.0,361.0,313.0,3538.0,2516.0,744.0,757.0,하나머티리얼즈,1287526577400,KOSDAQ,2138.6,254.4,0,0,17.647058823529417,25.0,0,8.988128886376485,62.210288298473714,0.0,28.67469879518072,109.82318271119844,-0.8150972712773829,0.9949874371066199,0,0.4012032015266706,0.13672535671993707,0,-0.13105026291072341,0.37528475220680163,0.05996338860974567,0.17930951941553588,0.12211724464803911,0.10247877158239174,23.0
290650,2024-12-31,1410.0,-54.0,4756.0,1809.0,1547.0,1302.0,3454.0,183.0,62.0,2947.0,721.0,357.0,-86.0,엘앤씨바이오,1937680914000,KOSDAQ,612.85,1128.0,0,0,17.647058823529417,25.0,0,47.84526637258229,61.38445877163217,0.0,9.31174089068827,67.18266253869969,-0.8150972712773829,0.9949874371066199,0,1.7229064762406336,0.14368620521522638,0,-0.4114694605473108,-0.07522311034119865,0.05996338860974567,0.6221975604852866,-0.24334628544425474,0.08141732076865374,24.0
347700,2024-12-31,-170.0,,446.0,134.0,131.0,382.0,64.0,193.0,11.0,313.0,26.0,19.0,-58.0,스피어,1209307610400,KOSDAQ,22.099999999999998,-136.0,0,0,17.647058823529417,25.0,0,-54.31309904153354,42.81150159744409,0.0,100.72992700729925,66.66666666666667,-0.8150972712773829,0.9949874371066199,0,-1.7519518082944905,0.3002361187227703,0,0.9124715678151237,-0.08067473702053528,0.05996338860974567,-0.4839052298572401,0.4158984153972942,0.05797017295261307,25.0
115180,2024-12-31,-245.0,0.0,656.0,54.0,50.0,506.0,149.0,150.0,6.0,602.0,92.0,14.0,-233.0,큐리언트,1327749651900,KOSDAQ,78.2,-196.0,0,0,17.647058823529417,25.0,0,-40.69767441860465,8.970099667774086,0.0,26.585365853658537,126.63755458515284,-0.8150972712773829,0.9949874371066199,0,-1.2888309384894354,0.5854824850056058,0,-0.16130850495965168,0.5529328367606096,0.05996338860974567,-0.23444948449460987,0.19581216590047895,0.04183544717609454,26.0
310210,2024-12-31,-326.0,-0.0,737.0,72.0,68.0,565.0,172.0,102.0,20.0,664.0,,,-291.0,보로노이,4212116309000,KOSDAQ,,-260.8,0,0,,25.0,0,-49.096385542168676,10.843373493975903,,-0.8426966292134797,38.21456538762724,,0.9949874371066199,0,-1.5745082866814337,0.5696928155029268,0,-0.558528563594839,-0.3812783713187457,0.4974937185533099,-0.33493849039283563,-0.46990346745679235,0.04078812096105014,27.0
160190,2024-12-31,-11.0,-3.0,1202.0,518.0,364.0,628.0,574.0,102.0,19.0,684.0,759.0,71.0,-26.0,하이젠알앤엠,2637835200000,KOSDAQ,645.15,-8.8,0,0,17.647058823529417,25.0,0,-1.608187134502924,75.73099415204678,0.0,24.416517055655305,94.11764705882352,-0.8150972712773829,0.9949874371066199,0,0.04077558151291757,0.0227604499963347,0,-0.19271831552325552,0.20935180232017708,0.05996338860974567,0.02117867716975076,0.00831674339846078,0.03671245275836122,28.0
281740,2024-12-31,210.0,-24.0,3513.0,2200.0,1139.0,1275.0,2238.0,203.0,111.0,1314.0,1387.0,363.0,9.0,레이크머티리얼즈,1705707720600,KOSDAQ,1178.95,168.0,0,0,17.647058823529417,25.0,0,15.981735159817351,167.42770167427702,0.0,40.896921017402946,78.8445199660153,-0.8150972712773829,0.9949874371066199,0,0.6390867130681043,-0.7501434821508752,0,0.04595501519797078,0.047987358050505406,0.05996338860974567,-0.03701892302759032,0.04697118662423809,0.03666926568662619,29.0
095610,2024-12-31,427.0,72.0,3812.0,506.0,374.0,1832.0,1980.0,117.0,51.0,3305.0,2401.0,646.0,305.0,테스,1423312272000,KOSDAQ,2040.85,341.6,0,0,17.647058823529417,25.0,0,12.919818456883512,15.310136157337368,0.0,2.0452099031216253,75.88126159554731,-0.8150972712773829,0.9949874371066199,0,0.5349373702451623,0.5320428439852095,0,-0.516705179138739,0.016679785130276382,0.05996338860974567,0.3556600714101239,-0.25001269700423134,0.026109899485628224,30.0
