ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score,V,Q,G,M
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.2,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.334,73.23,54.9,-0.272,0.07625,2.86271943974631,-0.272,0.154,0.327,0.096,-0.272,30,10,20,40
250,8,0.1,0.0,0.6,0.3,0.15,0.15,0.2,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.267,70.74,55.85,-0.274,0.08224999999999999,2.987226558189827,-0.274,0.079,0.42,0.104,-0.274,15,15,20,50
250,8,0.1,0.0,0.6,0.3,0.35,0.05,0.2,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.407,74.49,52.93,-0.276,-0.0235,99.0,-0.276,-0.104,0.161,0.125,-0.276,35,5,20,40
250,8,0.1,0.0,0.6,0.3,0.35,0.1,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.408,67.32,47.8,-0.312,-0.012500000000000004,99.0,-0.312,-0.051,0.172,0.141,-0.312,35,10,15,40
250,8,0.1,0.0,0.6,0.3,0.25,0.2,0.25,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.43,62.36,43.6,-0.356,-0.012999999999999992,99.0,-0.356,0.163,0.132,0.009,-0.356,25,20,25,30
250,8,0.1,0.0,0.6,0.3,0.25,0.05,0.25,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.193,73.76,61.81,-0.37,-0.011500000000000003,99.0,-0.37,0.057,0.175,0.092,-0.37,25,5,25,45
250,8,0.1,0.0,0.6,0.3,0.15,0.2,0.25,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.118,55.71,49.83,-0.382,-0.012250000000000004,99.0,-0.382,0.01,0.292,0.031,-0.382,15,20,25,40
250,8,0.1,0.0,0.6,0.3,0.15,0.15,0.25,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.028,62.94,61.21,-0.391,0.03900000000000001,7.5183536113727065,-0.391,0.339,0.278,-0.07,-0.391,15,15,25,45
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.25,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.129,64.42,57.05,-0.395,-0.037500000000000006,99.0,-0.395,0.014,0.16,0.071,-0.395,30,10,25,35
250,8,0.1,0.0,0.6,0.3,0.15,0.1,0.25,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.262,77.37,61.32,-0.411,0.028999999999999998,9.344541285854751,-0.411,0.205,0.292,0.03,-0.411,15,10,25,50
250,8,0.1,0.0,0.6,0.3,0.3,0.05,0.25,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.973,63.72,65.48,-0.412,-0.03899999999999999,99.0,-0.412,0.118,0.093,0.045,-0.412,30,5,25,40
250,8,0.1,0.0,0.6,0.3,0.15,0.1,0.2,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.195,74.18,62.06,-0.436,-0.06525,99.0,-0.436,-0.011,0.19,-0.004,-0.436,15,10,20,55
250,8,0.1,0.0,0.6,0.3,0.25,0.15,0.25,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.067,60.99,57.17,-0.459,-0.0835,99.0,-0.459,0.225,-0.044,-0.056,-0.459,25,15,25,35
250,8,0.1,0.0,0.6,0.3,0.25,0.15,0.2,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.93,57.19,61.51,-0.483,-0.17775,99.0,-0.483,-0.084,-0.126,-0.018,-0.483,25,15,20,40
250,8,0.1,0.0,0.6,0.3,0.25,0.1,0.25,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,0.834,58.68,70.39,-0.557,-0.17500000000000002,99.0,-0.557,0.095,-0.11,-0.128,-0.557,25,10,25,40
