ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024,score
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.2,-0.1,2,1.008,52.62,52.22,0.632,1.3165,0.32060382385515224,0.632,1.654,1.677,1.303,0.632
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.15,0,1.346,65.64,48.78,0.625,1.482,0.3443391968140059,0.625,1.935,1.785,1.583,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.15,1,1.475,66.17,44.85,0.625,1.7465000000000002,0.4001297997447849,0.625,2.437,2.213,1.711,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.15,2,1.41,65.64,46.57,0.625,1.58725,0.38118955969635165,0.625,2.182,2.013,1.529,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.15,3,1.413,63.37,44.85,0.625,1.72525,0.3932784457505539,0.625,2.352,2.213,1.711,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.15,5,1.468,65.69,44.73,0.625,1.7125000000000001,0.39171047098464606,0.625,2.33,2.198,1.697,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.2,0,1.465,73.78,50.35,0.625,1.34525,0.3273808688195126,0.625,1.759,1.638,1.359,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.2,1,1.412,73.3,51.9,0.625,1.2425000000000002,0.3064721204639628,0.625,1.602,1.506,1.237,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.2,2,1.392,70.1,50.35,0.625,1.34525,0.3273808688195126,0.625,1.759,1.638,1.359,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.2,3,1.413,71.02,50.25,0.625,1.3525,0.32864399337062233,0.625,1.769,1.648,1.368,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.2,5,1.386,69.64,50.25,0.625,1.35825,0.3297068975493602,0.625,1.778,1.655,1.375,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.25,0,1.395,74.96,53.74,0.625,1.5414999999999999,0.3449721850880948,0.625,1.925,1.776,1.84,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.25,1,1.389,74.64,53.74,0.625,1.47275,0.33383158913404104,0.625,1.824,1.693,1.749,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.25,2,1.326,71.25,53.74,0.625,1.4304999999999999,0.32648641031144515,0.625,1.763,1.642,1.692,0.625
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,oca_z,gp_growth_z,rev_z,oca_z,0.7,0.7,6m-1m,6m-1m,2,5,2,3,6,3,-0.05,-0.25,3,1.311,70.46,53.74,0.625,1.40025,0.3209572509297627,0.625,1.719,1.605,1.652,0.625
