V,Q,G,M,mom,gs,cagr,mdd,calmar,total
15,10,45,30,6m,3f_rev_oca_gp,38.27,54.49,0.702,1067.05
25,15,40,20,6m-1m,2f_rev_oca_0.7,38.36,54.71,0.701,1073.26
15,5,45,35,6m,2f_rev_oca_0.7,33.45,47.71,0.701,792.16
30,10,40,20,6m,2f_rev_oca_0.7,42.58,60.92,0.699,1373.1
15,5,55,25,12m,3f_rev_oca_gp,42.74,61.21,0.698,1386.09
5,5,60,30,6m,3f_rev_oca_gp,41.94,60.2,0.697,1323.99
15,0,40,45,6m,2f_rev_oca_0.7,37.96,54.48,0.697,1047.62
15,5,55,25,12m,2f_rev_oca_0.7,42.61,61.19,0.696,1375.29
10,5,45,40,12m,3f_rev_oca_gp,35.38,50.87,0.696,894.64
25,15,30,30,12m-1m,3f_rev_oca_gp,37.73,54.29,0.695,1033.3
25,15,40,20,6m-1m,3f_rev_oca_gp,43.28,62.3,0.695,1429.06
0,0,60,40,6m,3f_rev_oca_gp,38.43,55.35,0.694,1077.36
