V,Q,G,M,mom,gs,cagr,mdd,calmar,total
5,0,65,30,12m-1m,3f_rev_oca_gp,17.89,68.37,0.262,248.25
15,15,50,20,6m-1m,3f_rev_oca_gp,20.01,77.22,0.259,298.68
15,10,55,20,6m-1m,3f_rev_oca_gp,20.0,77.75,0.257,298.65
25,5,50,20,6m,3f_rev_oca_gp,20.09,78.77,0.255,300.82
5,5,55,35,12m-1m,3f_rev_oca_gp,15.2,59.96,0.254,192.46
5,15,60,20,6m,3f_rev_oca_gp,19.19,76.87,0.25,278.55
0,0,60,40,6m-1m,3f_rev_oca_gp,15.0,60.19,0.249,188.61
0,10,65,25,6m-1m,2f_rev_oca_0.7,15.68,63.41,0.247,201.83
0,5,70,25,12m-1m,2f_rev_oca_0.7,16.5,67.13,0.246,218.39
0,0,65,35,12m-1m,3f_rev_oca_gp,16.68,68.15,0.245,222.07
0,10,60,30,6m,3f_rev_oca_gp,14.9,61.4,0.243,186.63
5,5,60,30,6m-1m,2f_rev_oca_0.7,14.21,58.59,0.243,173.9
0,5,65,30,12m-1m,3f_rev_oca_gp,16.32,68.07,0.24,214.64
0,15,55,30,6m-1m,2f_rev_oca_0.7,14.79,61.97,0.239,184.54
10,5,65,20,12m-1m,2f_rev_oca_0.7,17.28,73.08,0.236,234.87
0,0,70,30,6m-1m,3f_rev_oca_gp,14.47,62.7,0.231,178.67
0,10,70,20,6m,2f_rev_oca_0.7,15.64,67.86,0.23,201.01
0,15,60,25,12m-1m,2f_rev_oca_0.7,14.58,65.14,0.224,180.72
0,10,60,30,6m-1m,2f_rev_oca_0.7,13.57,62.89,0.216,162.46
5,5,70,20,12m,2f_rev_oca_0.7,15.67,73.36,0.214,201.51
15,0,65,20,12m,2f_rev_oca_0.7,14.8,70.38,0.21,184.81
0,5,65,30,6m-1m,2f_rev_oca_0.7,12.74,61.23,0.208,148.25
5,5,70,20,12m-1m,2f_rev_oca_0.7,14.81,73.06,0.203,184.95
5,10,65,20,12m-1m,2f_rev_oca_0.7,14.91,74.12,0.201,186.88
0,15,65,20,6m-1m,2f_rev_oca_0.7,14.5,73.33,0.198,179.18
10,5,65,20,12m,2f_rev_oca_0.7,14.28,72.34,0.197,175.16
5,5,60,30,12m,3f_rev_oca_gp,12.75,65.57,0.194,148.46
0,5,70,25,6m-1m,2f_rev_oca_0.7,13.65,70.72,0.193,163.96
0,10,70,20,12m,2f_rev_oca_0.7,13.5,71.01,0.19,161.18
0,15,65,20,6m,2f_rev_oca_0.7,13.76,73.75,0.187,165.88
5,5,65,25,6m-1m,2f_rev_oca_0.7,12.12,67.39,0.18,138.07
5,10,65,20,6m,2f_rev_oca_0.7,13.59,75.75,0.179,162.8
5,5,70,20,6m-1m,2f_rev_oca_0.7,12.69,74.12,0.171,147.45
5,10,60,25,6m-1m,2f_rev_oca_0.7,11.45,67.09,0.171,127.45
0,10,70,20,6m-1m,2f_rev_oca_0.7,12.26,72.33,0.17,140.44
0,5,60,35,12m-1m,3f_rev_oca_gp,11.05,65.66,0.168,121.45
0,15,60,25,6m-1m,2f_rev_oca_0.7,9.81,69.64,0.141,103.37
10,0,70,20,12m-1m,2f_rev_oca_0.7,10.72,76.26,0.141,116.46
0,10,60,30,12m-1m,3f_rev_oca_gp,9.71,71.2,0.136,101.93
0,15,65,20,12m-1m,2f_rev_oca_0.7,9.92,76.94,0.129,104.91
25,0,55,20,6m,3f_rev_oca_gp,10.48,85.74,0.122,112.99
15,0,65,20,12m-1m,2f_rev_oca_0.7,8.98,76.42,0.118,91.95
10,0,70,20,6m-1m,2f_rev_oca_0.7,8.2,77.23,0.106,81.78
10,0,65,25,6m-1m,2f_rev_oca_0.7,6.53,71.45,0.091,61.56
0,15,65,20,12m,2f_rev_oca_0.7,6.78,78.51,0.086,64.45
