cfg,variant,period,confirm,oV,oQ,oG,oM,oE,oX,oS,o_mom,dV,dQ,dG,dM,dE,dX,dS,d_mom,cal,cagr,mdd,total
1,oV-5,2022-2023,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,4.621,72.33,15.65,188.75
1,oV-5,2020-2021,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.771,92.81,33.49,264.11
1,oV-5,2024-2026,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,5.225,188.32,36.04,929.94
1,oV-5,full,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.705,107.64,39.8,25461.04
1,oV-5,5.25y,7,10.0,5.0,55.00000000000001,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.446,124.2,36.04,6216.61
1,oV+5,2018H2-2019,7,20.0,5.0,45.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,1.613,63.27,39.23,104.99
1,oV+5,2022-2023,7,20.0,5.0,45.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,5.749,91.46,15.91,254.5
1,oV+5,2020-2021,7,20.0,5.0,45.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.291,77.92,34.02,210.83
1,oV+5,2024-2026,7,20.0,5.0,45.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,5.144,173.06,33.64,813.73
1,oV+5,full,7,20.0,5.0,45.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,2.641,103.6,39.23,21921.79
1,oV+5,5.25y,7,20.0,5.0,45.0,30.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,3.453,116.17,33.64,5137.74
1,oG-5,2018H2-2019,7,15.0,5.0,45.0,35.0,3,6,3,12m,25.0,15.0,10.0,50.0,5,8,5,6m-1m,1.396,53.98,38.67,88.15
