ma_w,cd,V_b,Q_b,G_b,M_b,V_d,Q_d,G_d,M_d,gs1_b,gs2_b,gs1_d,gs2_d,g_rev_b,g_rev_d,mom_b,mom_d,eb,xb,sb,ed,xd,sd,sl,ts,ts_cd,cal_78,cagr_78,mdd_78,sharpe_78,sortino_78,total_78,wf_min,wf_mean,wf_cv,wf_2018,wf_2020,wf_2022,wf_2024
250,8,0.25,0.0,0.5,0.25,0.3,0.15,0.15,0.4,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.709,67.37,39.41,1.397,2.165,5054.72,-0.105,0.05600000000000001,3.113550453834244,-0.105,-0.073,0.065,0.337
250,8,0.1,0.0,0.6,0.3,0.3,0.1,0.15,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.567,76.77,49.01,1.496,2.39,7730.81,0.295,0.4325,0.33058126393857495,0.487,0.295,0.642,0.306
250,8,0.1,0.0,0.6,0.3,0.2,0.1,0.15,0.55,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.751,85.0,48.54,1.58,2.546,10995.48,0.253,0.353,0.31951735745791726,0.296,0.319,0.544,0.253
250,8,0.1,0.0,0.6,0.3,0.4,0.05,0.25,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.793,81.28,45.32,1.493,2.527,9397.82,0.237,0.344,0.5287062704786876,0.237,0.242,0.659,0.238
250,8,0.1,0.0,0.6,0.3,0.3,0.2,0.25,0.25,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.678,76.57,45.63,1.458,2.382,7663.12,0.195,0.5095000000000001,0.6326874006322918,1.007,0.195,0.58,0.256
250,8,0.1,0.0,0.6,0.3,0.35,0.1,0.1,0.45,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.509,73.73,48.86,1.474,2.339,6758.65,0.189,0.275,0.3279084734223084,0.189,0.315,0.404,0.192
250,8,0.1,0.0,0.6,0.3,0.25,0.1,0.15,0.5,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.726,86.1,49.89,1.608,2.565,11511.5,0.166,0.31725000000000003,0.2774139875363379,0.35,0.166,0.379,0.374
250,8,0.1,0.0,0.6,0.3,0.4,0.2,0.1,0.3,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.552,65.13,41.96,1.362,2.197,4548.5,0.152,0.5429999999999999,0.48446350000627936,0.849,0.152,0.701,0.47
250,8,0.1,0.0,0.6,0.3,0.35,0.2,0.1,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.65,64.85,39.31,1.357,2.164,4488.87,0.151,0.24574999999999997,0.33911614057950207,0.182,0.151,0.358,0.292
250,8,0.1,0.0,0.6,0.3,0.4,0.05,0.2,0.35,rev_z,oca_z,rev_z,oca_z,0.6,0.7,12m,6m-1m,3,6,3,3,6,5,-0.1,-0.15,2,1.738,77.51,44.6,1.515,2.458,7986.12,0.144,0.52275,0.5124419968737111,0.791,0.144,0.759,0.397
