date,factor,ic,n
20190507,growth_s,0.005197,118
20190507,momentum_s,0.436745,118
20190507,mom_10_z,0.014188,118
20190507,vol_low_z,0.008418,118
20190507,score,0.159116,118
20190508,value_s,0.001128,115
20190508,growth_s,-0.052632,115
20190508,momentum_s,0.411962,115
20190508,mom_10_z,0.116634,115
20190508,vol_low_z,-0.083074,115
20190508,score,0.091533,115
20190509,value_s,-0.019557,94
20190509,growth_s,-0.103732,94
20190509,momentum_s,0.29681,94
20190509,mom_10_z,0.136452,94
20190509,vol_low_z,-0.177387,94
20190509,score,0.033587,94
20190510,value_s,-0.023485,93
20190510,growth_s,-0.037906,93
20190510,momentum_s,0.385636,93
20190510,mom_10_z,0.081003,93
20190510,vol_low_z,-0.213766,93
20190510,score,0.070544,93
20190513,value_s,-0.007191,70
20190513,growth_s,-0.097297,70
20190513,momentum_s,0.379477,70
20190513,mom_10_z,0.004112,70
20190513,vol_low_z,-0.227014,70
20190513,score,0.020628,70
20190514,value_s,-0.028432,77
20190514,growth_s,-0.012698,77
20190514,momentum_s,0.317921,77
20190514,mom_10_z,-0.028947,77
20190514,vol_low_z,-0.089135,77
20190514,score,0.073677,77
20190515,value_s,0.0461,94
20190515,growth_s,0.053774,94
20190515,momentum_s,0.318499,94
20190515,mom_10_z,0.040162,94
20190515,vol_low_z,-0.041795,94
20190515,score,0.124293,94
20190516,value_s,0.027187,82
20190516,growth_s,0.077612,82
20190516,momentum_s,0.235794,82
20190516,mom_10_z,0.03867,82
20190516,vol_low_z,-0.050511,82
20190516,score,0.13031,82
20190517,value_s,-0.007559,73
20190517,growth_s,0.186368,73
20190517,momentum_s,0.317753,73
20190517,mom_10_z,0.008361,73
20190517,vol_low_z,-0.176138,73
20190517,score,0.255584,73
20190520,value_s,-0.023428,70
20190520,growth_s,0.172951,70
20190520,momentum_s,0.240381,70
20190520,mom_10_z,-0.086239,70
20190520,vol_low_z,-0.196536,70
20190520,score,0.180264,70
20190521,value_s,0.003076,77
20190521,growth_s,0.00136,77
20190521,momentum_s,0.201563,77
20190521,mom_10_z,-0.017509,77
20190521,vol_low_z,-0.146223,77
20190521,score,0.027946,77
20190522,value_s,0.103141,73
20190522,growth_s,-0.000417,73
20190522,momentum_s,0.071301,73
20190522,mom_10_z,-0.074788,73
20190522,vol_low_z,-0.079847,73
20190522,score,0.014131,73
20190523,value_s,0.03368,70
20190523,growth_s,0.015904,70
20190523,momentum_s,0.187893,70
20190523,mom_10_z,0.10615,70
20190523,vol_low_z,-0.113533,70
20190523,score,0.078524,70
20190524,value_s,0.006643,65
20190524,growth_s,0.007037,65
20190524,momentum_s,0.162369,65
20190524,mom_10_z,0.217264,65
20190524,vol_low_z,-0.131818,65
20190524,score,0.083435,65
20190527,value_s,0.10143,66
20190527,growth_s,0.005031,66
20190527,momentum_s,0.06945,66
20190527,mom_10_z,0.164137,66
20190527,vol_low_z,-0.123849,66
20190527,score,0.068949,66
20190528,value_s,0.025283,69
20190528,growth_s,0.052905,69
20190528,momentum_s,0.087468,69
20190528,mom_10_z,0.09167,69
20190528,vol_low_z,-0.053635,69
20190528,score,0.068761,69
20190529,value_s,-0.025262,65
20190529,growth_s,-0.002841,65
20190529,momentum_s,0.045367,65
20190529,mom_10_z,0.042703,65
20190529,vol_low_z,0.099038,65
20190529,score,-0.026442,65
20190530,value_s,-0.108174,64
20190530,growth_s,0.110601,64
20190530,momentum_s,0.123948,64
20190530,mom_10_z,-0.002404,64
20190530,vol_low_z,0.035738,64
20190530,score,0.06234,64
20190531,value_s,0.03558,71
20190531,growth_s,0.150168,71
20190531,momentum_s,0.094366,71
20190531,mom_10_z,-0.168479,71
20190531,vol_low_z,0.084708,71
20190531,score,0.126358,71
20190603,value_s,0.113286,75
20190603,growth_s,0.073058,75
20190603,mom_10_z,0.014395,75
20190603,vol_low_z,-0.012859,75
20190603,score,0.068393,75
20190604,value_s,0.056549,77
20190604,growth_s,0.013671,77
20190604,mom_10_z,-0.124113,77
20190604,vol_low_z,0.092486,77
20190604,score,0.03578,77
20190605,value_s,0.122347,79
20190605,growth_s,-0.110102,79
20190605,mom_10_z,-0.014155,79
20190605,vol_low_z,0.118574,79
20190605,score,0.097955,79
20190607,value_s,0.180946,78
20190607,growth_s,-0.149585,78
20190607,momentum_s,-0.228948,78
20190607,mom_10_z,-0.2834,78
20190607,vol_low_z,0.315242,78
20190607,score,-0.164634,78
20190610,value_s,0.107825,83
20190610,growth_s,-0.083688,83
20190610,momentum_s,-0.216469,83
20190610,mom_10_z,-0.301457,83
20190610,vol_low_z,0.421351,83
20190610,score,-0.151736,83
20190611,value_s,-0.001932,95
20190611,growth_s,-0.020094,95
20190611,mom_10_z,-0.24881,95
20190611,vol_low_z,0.450476,95
20190611,score,0.004647,95
20190612,value_s,-0.045242,98
20190612,growth_s,-0.007676,98
20190612,mom_10_z,-0.193726,98
20190612,vol_low_z,0.39137,98
20190612,score,0.017737,98
20190613,value_s,-0.078468,91
20190613,growth_s,-0.09785,91
20190613,momentum_s,-0.231295,91
20190613,mom_10_z,-0.19097,91
20190613,vol_low_z,0.406275,91
20190613,score,-0.124989,91
20190614,value_s,0.05143,89
20190614,growth_s,-0.152571,89
20190614,momentum_s,-0.188917,89
20190614,mom_10_z,-0.30286,89
20190614,vol_low_z,0.324242,89
20190614,score,-0.216182,89
20190617,value_s,0.040649,95
20190617,growth_s,-0.195031,95
20190617,mom_10_z,-0.202716,95
20190617,vol_low_z,0.316237,95
20190617,score,0.020437,95
20190618,value_s,0.004526,88
20190618,growth_s,-0.184442,88
20190618,momentum_s,-0.277958,88
20190618,mom_10_z,-0.262654,88
20190618,vol_low_z,0.305238,88
20190618,score,-0.343771,88
20190619,value_s,-0.044648,98
20190619,growth_s,-0.193263,98
20190619,momentum_s,-0.208494,98
20190619,mom_10_z,-0.22252,98
20190619,vol_low_z,0.253385,98
20190619,score,-0.298498,98
20190620,value_s,0.022672,110
20190620,growth_s,-0.212371,110
20190620,mom_10_z,-0.075996,110
20190620,vol_low_z,0.215463,110
20190620,score,0.081041,110
20190621,value_s,0.120075,106
20190621,growth_s,-0.236537,106
20190621,mom_10_z,-0.014968,106
20190621,vol_low_z,0.246674,106
20190621,score,0.146833,106
20190624,value_s,0.041843,99
20190624,growth_s,-0.183562,99
20190624,momentum_s,-0.057229,99
20190624,mom_10_z,-0.081559,99
20190624,vol_low_z,0.112109,99
20190624,score,-0.165702,99
20190625,value_s,0.098149,97
20190625,growth_s,-0.192498,97
20190625,mom_10_z,-0.013209,97
20190625,vol_low_z,0.035971,97
20190625,score,0.112719,97
20190626,value_s,0.084525,89
20190626,growth_s,-0.162853,89
20190626,momentum_s,-0.229997,89
20190626,mom_10_z,-0.033027,89
20190626,vol_low_z,0.091556,89
20190626,score,-0.228814,89
20190627,value_s,0.030673,85
20190627,growth_s,-0.183557,85
20190627,momentum_s,-0.183889,85
20190627,mom_10_z,0.050118,85
20190627,vol_low_z,0.123853,85
20190627,score,-0.240172,85
20190628,value_s,0.114737,88
20190628,growth_s,-0.156652,88
20190628,momentum_s,-0.123138,88
20190628,mom_10_z,-0.040339,88
20190628,vol_low_z,0.100014,88
20190628,score,-0.191761,88
20190701,value_s,0.13819,102
20190701,growth_s,-0.02285,102
20190701,mom_10_z,0.02527,102
20190701,vol_low_z,0.228752,102
20190701,score,0.148544,102
20190702,value_s,0.12875,106
20190702,growth_s,-0.045762,106
20190702,mom_10_z,-0.107137,106
20190702,vol_low_z,0.215336,106
20190702,score,0.132025,106
20190703,value_s,0.04574,91
20190703,growth_s,-0.050319,91
20190703,momentum_s,-0.008743,91
20190703,mom_10_z,-0.042603,91
20190703,vol_low_z,0.052031,91
20190703,score,-0.046377,91
20190704,value_s,0.092817,91
20190704,growth_s,-0.049658,91
20190704,momentum_s,-0.103854,91
20190704,mom_10_z,0.182688,91
20190704,vol_low_z,0.190524,91
20190704,score,-0.031502,91
20190705,value_s,-0.07756,88
20190705,growth_s,-0.02396,88
20190705,momentum_s,0.041052,88
20190705,mom_10_z,0.003963,88
20190705,vol_low_z,0.134849,88
20190705,score,0.004209,88
20190708,value_s,-0.028515,58
20190708,growth_s,0.005691,58
20190708,momentum_s,0.108062,58
20190708,mom_10_z,0.197084,58
20190708,vol_low_z,0.166262,58
20190708,score,0.0829,58
20190709,value_s,0.089642,57
20190709,growth_s,-0.166515,57
20190709,momentum_s,-0.097485,57
20190709,mom_10_z,0.357467,57
20190709,vol_low_z,0.242027,57
20190709,score,-0.09405,57
20190710,value_s,-0.062452,63
20190710,growth_s,0.034946,63
20190710,mom_10_z,0.295891,63
20190710,vol_low_z,0.08655,63
20190710,score,-0.030002,63
20190711,value_s,-0.051061,73
20190711,growth_s,0.007929,73
20190711,mom_10_z,0.258454,73
20190711,vol_low_z,0.181846,73
20190711,score,-0.043009,73
20190712,value_s,-0.054987,72
20190712,growth_s,0.069522,72
20190712,momentum_s,0.038652,72
20190712,mom_10_z,0.226321,72
20190712,vol_low_z,0.180623,72
20190712,score,0.11959,72
20190715,value_s,-0.070221,71
