ticker,name,market,mc_krw,g_score,rev_z,oca_z,v_score,q_score,m_score,composite_score,composite_rank,ntm_score,s_7,s_30,s_60,s_90,rev_net30,na,fwd_pe
082920,VITCELL,KQ,1403256813150.0,0.7084,0.3384,0.9666,-1.06,1.3794,-0.4913,0.0833,163,0.03432439551234032,0.0,0.013028329041054386,0.04321372854914197,0.05740037950664137,2.0,3.0,
004000,LOTTE Fine Chem,KS,1398360000000.0,-0.057,-0.2067,0.1038,1.1354,-0.0381,0.2118,0.2025,138,0.4303504610199833,0.449791800128123,0.4773561811505508,0.5655444294245567,0.3822457198480713,1.0,7.0,7.657439
229640,LS Eco Energy,KS,1347494676000.0,0.5685,0.2005,0.8471,-1.0245,1.4487,0.61,0.342,107,0.10541393543996451,0.029522613065326633,0.07971014492753623,0.13740458015267176,0.14969135802469144,1.0,5.0,51.634552
095610,TES,KQ,1279696000000.0,0.8072,0.9073,0.5794,-0.5763,1.1727,1.7541,0.8838,26,0.05896320034111199,0.00961970095333289,0.010846668475508164,0.010846668475508164,0.10781591272002099,2.0,4.0,
100090,SKoceanplant,KS,1229569578720.0,0.8728,1.3985,0.2087,-0.1421,-0.6285,-0.9237,0.1816,143,-0.12505855525691328,-0.07681515527236601,-0.07681515527236601,-0.07681515527236601,-0.17330195524146053,-1.0,4.0,18.938702
001740,SKNetworks,KS,1214815681980.0,-1.0359,-1.2802,-0.6232,1.471,-0.0916,0.173,-0.2972,252,0.09493051807879116,0.21559633027522937,0.21559633027522937,0.21559633027522937,-0.025735294117647058,0.0,5.0,25.079365
089970,VM,KQ,1191290716000.0,2.1628,1.9921,1.988,-1.1502,0.8893,1.2862,1.4029,6,0.1708565803273472,-0.05510458944739307,0.0325827362674855,0.20146883684001587,0.32796559970163,0.0,3.0,14.666553
166090,Hana Materials,KQ,1168860533400.0,0.1417,0.0725,0.1901,-0.627,0.3112,0.47,0.1249,157,0.5021140530963994,0.2567313713212273,0.2567313713212273,0.2567313713212273,0.7474967348715716,1.0,5.0,14.657666
213420,DUK SAN NEOLUX,KQ,1104987465500.0,1.0843,1.6481,0.3482,-0.2405,0.6012,-1.4727,0.1185,159,-0.07831520035778472,0.0,0.0,-0.1305253339296412,-0.1305253339296412,-2.0,9.0,12.63034
192080,DoubleUGames,KS,1065025440400.0,-0.1138,0.3576,-0.5651,1.0367,1.3813,-0.6613,-0.1055,213,0.0016556878996611475,0.0,0.004828021457873146,0.006415929203539823,0.0010625856670397015,0.0,11.0,6.8202553
195870,HAESUNG DS,KS,952000000000.0,-0.299,0.0604,-0.6085,-0.2905,-0.1112,0.9439,0.0751,165,-0.10949978753683703,-0.09211675151753199,-0.11561524283111958,-0.1180407733908475,-0.11699832091876144,-2.0,10.0,14.401499
