symbol,name,market,mc_krw,eps_trend_ok,fy_complete_0y,fy_complete_1y,snap_ok_count,0y_current,0y_7d,0y_30d,0y_60d,0y_90d,1y_current,1y_90d,endDate_0y_ok,endDate_1y_ok,rev_ok_0y,up7,up30,dn30,dn7,na,rev_growth,op_margin,gross_margin,fwd_pe,fwd_eps,earn_date_present,error,ticker
282330.KS,BGF Retail,KS,2086167454200.0,True,True,True,5,12377.8125,12152.295,12141.189,12082.719,11565.362,13514.477,12220.799,True,True,True,9.0,9.0,2.0,1.0,18.0,0.052,0.017970001,0.18642001,10.374061,,False,,282330
375500.KS,DL E&C,KS,2008199033700.0,True,True,True,5,10766.841,8775.566,8707.485,8703.907,9364.8,11037.06,10720.786,True,True,True,7.0,7.0,0.0,0.0,14.0,-0.305,-0.07614,0.1216,7.5473,,True,,375500
069960.KS,HYUNDAIDEPTST,KS,1946077918000.0,True,True,True,5,11941.478,11668.528,11679.029,11777.676,11864.191,14699.909,13181.787,True,True,True,10.0,10.0,3.0,3.0,17.0,-0.114,0.10168,0.59861,8.340188,,False,,069960
120110.KS,KOLON IND,KS,1940095915500.0,True,True,True,5,7501.0,4937.3335,4937.3335,4466.0,4518.0,7163.5,6835.5,True,True,True,0.0,1.0,0.0,0.0,4.0,-0.074,0.008119999,0.26073,11.949466,,False,,120110
140860.KQ,Park Systems,KQ,1941522367500.0,True,True,True,5,8213.513,8869.97,9191.245,9205.609,9331.791,10396.584,11092.882,True,True,True,0.0,0.0,7.0,6.0,10.0,-0.103,0.14866,0.66383004,27.124294,,False,,140860
038500.KQ,SAMPYO Cement,KQ,1866952093800.0,True,True,True,5,706.0,0.0,0.0,0.0,0.0,756.0,0.0,True,True,True,0.0,0.0,0.0,0.0,,-0.113,0.17376,0.19206,19.867725,,False,,038500
475150.KS,SK eternix,KS,1812592055400.0,True,False,False,0,,,,,,,,False,False,False,,,,,,0.13,0.16605,0.20208,,,False,,475150
101490.KQ,S&S TECH,KQ,1832666106100.0,True,False,False,0,,,,,,,,True,False,False,,,,,,,,,,,False,,101490
001120.KS,LX INT,KS,1724820000000.0,True,True,True,5,7665.0,6670.6665,6346.5,5988.6665,5937.0,8045.3335,6667.2,True,True,True,1.0,3.0,2.0,0.0,6.0,,0.02586,0.0,5.770426,,False,,001120
232140.KQ,YCC,KQ,1698338745000.0,True,True,True,5,402.0,575.1396,575.1396,575.1396,0.0,675.41095,0.0,True,True,True,0.0,0.0,0.0,0.0,2.0,0.356,0.1066,0.26197,28.219856,,False,,232140
298020.KS,HYOSUNG TNC,KS,1681304457000.0,True,True,True,5,50107.332,35795.0,33363.0,33196.0,31467.666,70089.0,38662.332,True,True,True,0.0,1.0,1.0,1.0,3.0,-0.068,0.02427,0.08178,6.6772246,,False,,298020
161890.KS,KOLMAR KOREA,KS,1647634374600.0,True,True,True,5,6714.794,6100.497,6066.045,6064.047,5837.0967,7772.1187,7007.097,True,True,True,6.0,8.0,0.0,0.0,24.0,0.11,0.073,0.28977,12.853638,,False,,161890
322000.KS,HD HYUNDAI ENERGY SOLUTIONS,KS,1526560000000.0,True,True,True,5,7683.0,9075.0,9075.0,0.0,0.0,10027.0,0.0,True,True,True,0.0,0.0,0.0,0.0,2.0,0.371,0.09513,0.21542999,24.533758,,False,,322000
124500.KQ,ITCENGLOBAL,KQ,1512935160400.0,True,False,False,0,,,,,,,,True,False,False,,,,,,1.815,0.03769,0.05041,,,False,,124500
007810.KS,KorCirc,KS,1489320950400.0,True,True,True,5,4001.5,3923.0,3923.0,4395.5,3227.0,5583.0,3383.0,True,True,True,0.0,1.0,1.0,0.0,4.0,0.337,0.080469996,0.0726,17.499552,,False,,007810
080220.KQ,JSC,KQ,1477597535700.0,True,False,False,0,,,,,,,,False,False,False,,,,,,,,,,,False,,080220
082920.KQ,VITCELL,KQ,1403256813150.0,True,True,True,5,1671.75,1671.75,1650.25,1602.5,1581.0,1951.75,1987.0,True,True,True,2.0,2.0,0.0,0.0,3.0,,,,,,False,,082920
004000.KS,LOTTE Fine Chem,KS,1398360000000.0,True,True,True,5,9052.5,6244.0,6127.5,5782.3335,6549.125,7574.3335,7354.143,True,True,True,1.0,2.0,1.0,0.0,7.0,0.024,0.04395,0.11723,7.657439,,True,,004000
131290.KQ,TSE,KQ,1380466339200.0,True,True,True,5,5749.0,5250.5,5250.5,4837.0,4544.0,6816.5,6755.0,True,True,True,1.0,1.0,0.0,0.0,2.0,,,,,,False,,131290
077970.KS,STXEngine,KS,1369048948300.0,True,False,False,0,,,,,,,,True,False,False,,,,,,0.123,0.021949999,0.16548,,,False,,077970
229640.KS,LS Eco Energy,KS,1347494676000.0,True,True,True,5,1639.0,1592.0,1518.0,1441.0,1425.6,1847.6,1599.0,True,True,True,1.0,1.0,0.0,0.0,5.0,0.067,0.052600004,0.10241,51.634552,,False,,229640
095610.KQ,TES,KQ,1279696000000.0,True,True,True,5,4325.022,4283.813,4278.6133,4278.6133,3904.0981,5286.709,4528.0107,True,True,True,2.0,2.0,0.0,0.0,4.0,,,,,,False,,095610
183300.KQ,KoMiCo,KQ,1243775327600.0,True,True,True,5,6345.0,6692.0,6847.0,6536.25,6536.25,7099.0,7875.0,True,True,True,0.0,0.0,1.0,1.0,2.0,0.283,0.1443,0.42646,25.04578,,False,,183300
100090.KS,SKoceanplant,KS,1229569578720.0,True,True,True,5,877.3333,950.3333,950.3333,950.3333,1061.25,1093.0,1360.0,True,True,True,1.0,1.0,2.0,2.0,4.0,0.07,0.07881,0.01175,18.938702,,False,,100090
001740.KS,SKNetworks,KS,1214815681980.0,True,True,True,5,265.0,218.0,218.0,218.0,272.0,315.0,314.0,True,True,True,0.0,0.0,0.0,0.0,5.0,-0.124,0.00274,0.1275,25.079365,,False,,001740
089970.KQ,VM,KQ,1191290716000.0,True,True,True,5,3026.5,3203.0,2931.0,2519.0,2279.05,3913.6667,2546.25,True,True,True,1.0,0.0,0.0,0.0,3.0,0.542,0.18344,0.45735002,14.666553,,False,,089970
