v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
10,10,55,25,0.7,12m-1m,75.57,40.31,1.875,1.399,2.261
0,10,75,15,0.3,12m,74.05,39.58,1.871,1.371,2.192
10,15,45,30,0.6,12m,79.33,42.41,1.871,1.439,2.303
15,0,75,10,0.3,12m,73.68,39.41,1.87,1.371,2.224
10,5,55,30,0.8,12m-1m,78.94,42.21,1.87,1.447,2.31
15,10,50,25,0.6,12m-1m,82.85,44.34,1.869,1.483,2.351
5,15,55,25,0.5,12m-1m,92.63,49.56,1.869,1.587,2.526
5,15,65,15,0.3,12m-1m,71.77,38.48,1.865,1.363,2.19
25,5,55,15,0.7,12m,64.31,34.48,1.865,1.272,1.904
5,10,50,35,0.5,12m-1m,84.67,45.44,1.863,1.515,2.357
25,0,65,10,0.4,12m,80.08,42.99,1.863,1.471,2.436
20,0,65,15,0.7,12m-1m,70.34,37.77,1.862,1.338,2.019
0,10,60,30,0.7,12m,83.31,44.81,1.859,1.486,2.432
10,0,70,20,0.5,12m,84.6,45.65,1.853,1.477,2.409
15,10,55,20,0.4,12m-1m,71.74,38.74,1.852,1.372,2.146
5,15,65,15,0.6,12m-1m,69.47,37.51,1.852,1.33,2.082
5,0,65,30,0.3,12m-1m,76.07,41.14,1.849,1.389,2.24
20,5,50,25,0.7,12m,80.99,43.89,1.845,1.434,2.246
5,5,60,30,0.5,12m-1m,78.78,42.75,1.843,1.432,2.242
0,10,60,30,0.6,12m-1m,82.33,44.7,1.842,1.483,2.389
10,0,70,20,0.7,12m-1m,82.81,45.06,1.838,1.469,2.325
20,10,50,20,0.4,12m-1m,70.22,38.21,1.838,1.343,2.091
10,10,55,25,0.8,12m-1m,79.8,43.46,1.836,1.436,2.277
20,0,65,15,0.7,12m,77.21,42.08,1.835,1.419,2.15
15,15,45,25,0.6,12m-1m,73.26,39.96,1.833,1.394,2.206
30,5,50,15,0.4,12m,62.08,33.87,1.833,1.284,2.042
0,15,55,30,0.4,12m-1m,84.76,46.25,1.832,1.509,2.415
0,5,60,35,0.3,12m,78.39,42.8,1.831,1.429,2.294
15,0,60,25,0.5,12m,79.59,43.48,1.83,1.437,2.293
10,0,70,20,0.3,12m,80.96,44.25,1.829,1.443,2.347
30,5,45,20,0.5,12m,51.6,28.23,1.828,1.142,1.807
25,0,60,15,0.5,12m-1m,66.17,36.19,1.828,1.332,2.103
0,0,75,25,0.4,12m-1m,82.1,44.95,1.826,1.469,2.374
5,10,60,25,0.6,12m,83.27,45.59,1.826,1.488,2.389
10,0,60,30,0.5,12m,93.3,51.12,1.825,1.571,2.514
5,15,45,35,0.8,12m,85.67,46.95,1.825,1.514,2.436
0,10,70,20,0.6,12m,82.39,45.15,1.825,1.477,2.376
0,5,70,25,0.3,12m,82.61,45.29,1.824,1.459,2.365
0,15,55,30,0.5,12m-1m,84.0,46.06,1.824,1.496,2.397
0,10,70,20,0.6,12m-1m,77.96,42.76,1.823,1.434,2.295
10,15,55,20,0.8,12m-1m,83.09,45.63,1.821,1.48,2.344
10,5,75,10,0.6,12m-1m,80.93,44.44,1.821,1.468,2.342
10,5,65,20,0.8,12m-1m,75.65,41.55,1.821,1.4,2.178
20,5,40,35,0.7,12m-1m,66.79,36.74,1.818,1.323,2.097
0,5,75,20,0.7,12m-1m,80.58,44.34,1.817,1.468,2.337
5,10,70,15,0.3,12m-1m,78.27,43.14,1.814,1.429,2.259
0,15,60,25,0.5,12m-1m,81.05,44.7,1.813,1.481,2.404
10,5,60,25,0.6,12m,87.9,48.51,1.812,1.532,2.464
15,10,60,15,0.7,12m,81.04,44.72,1.812,1.456,2.266
0,15,50,35,0.3,12m,80.12,44.25,1.811,1.461,2.339
0,5,65,30,0.3,12m,83.93,46.4,1.809,1.485,2.358
15,10,50,25,0.8,12m,85.48,47.34,1.806,1.503,2.352
5,15,70,10,0.4,12m,77.2,42.79,1.804,1.417,2.249
20,10,50,20,0.8,12m,71.18,39.54,1.8,1.343,2.09
0,10,60,30,0.3,12m,81.73,45.41,1.8,1.473,2.365
0,5,60,35,0.4,12m,77.33,43.02,1.798,1.424,2.239
5,5,60,30,0.7,12m-1m,88.29,49.17,1.796,1.532,2.483
25,0,60,15,0.6,12m-1m,63.85,35.58,1.794,1.293,1.99
20,0,50,30,0.8,12m-1m,81.22,45.41,1.789,1.469,2.324
0,0,65,35,0.3,12m,82.5,46.12,1.789,1.472,2.319
15,10,40,35,0.7,12m-1m,78.73,44.01,1.789,1.456,2.316
0,15,65,20,0.4,12m-1m,83.34,46.62,1.788,1.486,2.369
5,10,60,25,0.7,12m-1m,82.43,46.12,1.787,1.473,2.396
0,15,65,20,0.4,12m,83.45,46.72,1.786,1.489,2.374
5,0,70,25,0.3,12m,81.67,45.77,1.784,1.468,2.357
0,0,75,25,0.5,12m,88.26,49.48,1.784,1.534,2.462
30,0,55,15,0.6,12m-1m,59.59,33.43,1.783,1.254,2.007
30,5,40,25,0.5,12m,57.59,32.33,1.781,1.227,1.913
0,15,55,30,0.7,12m,83.94,47.15,1.781,1.501,2.446
5,0,75,20,0.4,12m,74.27,41.71,1.781,1.377,2.186
25,0,50,25,0.4,12m,68.8,38.65,1.78,1.344,2.173
15,5,55,25,0.7,12m,76.32,42.87,1.78,1.395,2.164
20,0,50,30,0.8,12m,87.96,49.44,1.779,1.519,2.35
30,0,50,20,0.5,12m,53.96,30.33,1.779,1.186,1.908
15,0,60,25,0.8,12m,90.14,50.7,1.778,1.541,2.408
5,0,65,30,0.7,12m,85.05,47.89,1.776,1.498,2.377
20,10,55,15,0.7,12m,74.32,41.84,1.776,1.402,2.149
0,0,75,25,0.3,12m,82.22,46.3,1.776,1.466,2.363
0,15,70,15,0.6,12m,77.85,43.9,1.773,1.426,2.255
0,0,70,30,0.3,12m-1m,77.02,43.45,1.773,1.407,2.221
10,0,65,25,0.6,12m,90.81,51.22,1.773,1.551,2.48
20,10,50,20,0.5,12m-1m,67.09,37.89,1.771,1.316,2.019
0,15,70,15,0.7,12m-1m,80.64,45.53,1.771,1.492,2.373
20,0,60,20,0.5,12m-1m,66.58,37.65,1.769,1.3,2.076
5,0,70,25,0.6,12m,83.97,47.47,1.769,1.486,2.349
15,10,40,35,0.8,12m-1m,79.73,45.1,1.768,1.457,2.296
5,0,75,20,0.6,12m,85.7,48.54,1.766,1.505,2.409
30,10,40,20,0.4,12m-1m,51.04,28.9,1.766,1.141,1.787
10,15,65,10,0.6,12m,74.67,42.27,1.766,1.385,2.138
10,5,45,40,0.7,12m-1m,73.81,41.85,1.764,1.388,2.207
5,0,75,20,0.3,12m,82.93,47.0,1.764,1.487,2.341
5,0,55,40,0.6,12m-1m,81.53,46.27,1.762,1.473,2.312
5,10,65,20,0.4,12m-1m,81.11,46.1,1.76,1.45,2.273
20,10,60,10,0.5,12m-1m,59.08,33.59,1.759,1.202,1.911
15,5,50,30,0.7,12m-1m,83.08,47.27,1.757,1.491,2.371
15,10,50,25,0.3,12m-1m,72.46,41.27,1.756,1.365,2.199
10,0,65,25,0.5,12m,87.94,50.07,1.756,1.517,2.409
10,5,55,30,0.5,12m-1m,78.14,44.53,1.755,1.431,2.271
15,5,60,20,0.7,12m,77.49,44.19,1.754,1.435,2.15
5,10,55,30,0.6,12m-1m,83.1,47.37,1.754,1.475,2.389
5,10,60,25,0.5,12m,84.15,47.98,1.754,1.495,2.395
5,15,50,30,0.7,12m,83.57,47.65,1.754,1.488,2.409
25,0,65,10,0.5,12m,76.92,43.88,1.753,1.43,2.33
15,15,45,25,0.6,12m,71.96,41.05,1.753,1.38,2.188
5,10,65,20,0.3,12m,79.7,45.51,1.751,1.435,2.304
15,10,50,25,0.4,12m-1m,69.41,39.63,1.751,1.338,2.08
10,15,60,15,0.6,12m,78.01,44.56,1.751,1.423,2.228
5,0,65,30,0.8,12m-1m,79.06,45.18,1.75,1.431,2.276
20,10,50,20,0.5,12m,66.07,37.78,1.749,1.302,2.005
0,5,75,20,0.4,12m-1m,78.56,44.93,1.748,1.429,2.294
