combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,10,20,55,5.06,64.61,0.078,0.451,0.403
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,25,10,20,45,-5.07,66.11,-0.077,0.257,0.227
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,5,20,60,20.25,64.38,0.315,0.708,0.638
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,20,5,25,50,-10.41,75.38,-0.138,0.163,0.153
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,10,30,50,-11.05,72.35,-0.153,0.176,0.163
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,15,20,50,13.42,63.08,0.213,0.555,0.546
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,20,10,25,45,1.59,54.37,0.029,0.32,0.317
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,25,5,20,50,-0.49,74.59,-0.007,0.353,0.325
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,10,20,60,-9.35,67.52,-0.139,0.193,0.17
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,15,10,30,45,-10.91,69.37,-0.157,0.156,0.151
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,20,10,15,55,22.97,63.73,0.36,0.749,0.673
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,25,10,25,40,-1.6,55.21,-0.029,0.257,0.263
rev_z+oca_z+rev_accel_z,0.6/0.2/0.2,10,5,25,60,-2.26,69.39,-0.033,0.314,0.287
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,15,10,25,50,18.56,61.98,0.299,0.644,0.632
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,20,10,20,50,12.68,56.21,0.226,0.543,0.522
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,15,10,20,55,12.2,56.14,0.217,0.533,0.519
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,25,10,20,45,15.81,56.04,0.282,0.599,0.574
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,15,5,20,60,13.33,60.97,0.219,0.554,0.535
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,20,5,25,50,10.14,64.6,0.157,0.541,0.503
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,10,10,30,50,-2.97,66.59,-0.045,0.245,0.243
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,15,15,20,50,13.22,61.84,0.214,0.552,0.543
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,20,10,25,45,9.38,56.09,0.167,0.483,0.469
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,25,5,20,50,-5.93,74.34,-0.08,0.242,0.213
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,10,10,20,60,-0.9,72.31,-0.012,0.387,0.344
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,15,10,30,45,-7.69,58.27,-0.132,0.146,0.146
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,20,10,15,55,30.58,58.1,0.526,0.847,0.799
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,25,10,25,40,-14.83,58.67,-0.253,-0.032,-0.031
rev_z+oca_z+rev_accel_z,0.4/0.4/0.2,10,5,25,60,7.05,67.0,0.105,0.487,0.443
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,15,10,25,50,14.4,58.9,0.244,0.567,0.568
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,20,10,20,50,17.22,60.16,0.286,0.627,0.59
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,15,10,20,55,13.19,54.89,0.24,0.555,0.526
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,25,10,20,45,-1.17,56.23,-0.021,0.259,0.25
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,15,5,20,60,8.51,67.9,0.125,0.513,0.463
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,20,5,25,50,-11.31,73.31,-0.154,0.134,0.125
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,10,10,30,50,-6.36,64.45,-0.099,0.224,0.214
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,15,15,20,50,10.98,62.68,0.175,0.513,0.493
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,20,10,25,45,-14.86,67.24,-0.221,0.051,0.047
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,25,5,20,50,-3.51,71.21,-0.049,0.291,0.269
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,10,10,20,60,5.12,69.17,0.074,0.493,0.43
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,15,10,30,45,-5.48,65.46,-0.084,0.183,0.19
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,20,10,15,55,26.18,57.48,0.455,0.776,0.745
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,25,10,25,40,-3.03,52.64,-0.058,0.233,0.244
rev_z+oca_z+rev_accel_z,0.5/0.2/0.3,10,5,25,60,6.97,68.54,0.102,0.505,0.453
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,15,10,25,50,7.78,58.94,0.132,0.453,0.45
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,20,10,20,50,15.66,55.51,0.282,0.598,0.568
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,15,10,20,55,0.4,57.22,0.007,0.304,0.289
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,25,10,20,45,3.88,55.75,0.07,0.376,0.351
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,15,5,20,60,18.16,68.68,0.264,0.674,0.606
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,20,5,25,50,-11.8,72.23,-0.163,0.116,0.105
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,10,10,30,50,-3.61,64.2,-0.056,0.282,0.273
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,15,15,20,50,4.63,57.14,0.081,0.393,0.389
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,20,10,25,45,5.64,55.21,0.102,0.413,0.399
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,25,5,20,50,-1.25,70.36,-0.018,0.33,0.294
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,10,10,20,60,-0.99,69.35,-0.014,0.383,0.335
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,15,10,30,45,-7.02,57.87,-0.121,0.162,0.161
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,20,10,15,55,20.95,56.77,0.369,0.692,0.659
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,25,10,25,40,-14.4,54.86,-0.263,-0.016,-0.016
rev_z+oca_z+rev_accel_z,0.4/0.3/0.3,10,5,25,60,5.79,65.92,0.088,0.484,0.428
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,15,10,25,50,3.18,66.26,0.048,0.42,0.391
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,20,10,20,50,16.4,63.82,0.257,0.646,0.577
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,15,10,20,55,23.37,65.91,0.355,0.753,0.675
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,25,10,20,45,-3.73,67.71,-0.055,0.288,0.256
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,15,5,20,60,24.74,66.95,0.369,0.774,0.703
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,20,5,25,50,-1.53,70.43,-0.022,0.336,0.32
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,10,10,30,50,5.77,61.65,0.094,0.416,0.411
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,15,15,20,50,4.23,70.3,0.06,0.437,0.387
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,20,10,25,45,6.22,55.55,0.112,0.415,0.408
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,25,5,20,50,-2.99,72.25,-0.041,0.301,0.267
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,10,10,20,60,8.23,67.02,0.123,0.508,0.463
rev_z+oca_z+rev_accel_z,0.7/0.2/0.1,15,10,30,45,-4.89,59.36,-0.082,0.204,0.202
