v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
25,5,50,20,12m,7,12,3,-0.12,-0.15,0.65,2.632,86.19,32.75,1.542,2.44,3.0
20,5,60,15,12m,5,8,7,-0.1,-0.15,0.6,2.628,81.86,31.15,1.652,2.585,5.1
15,5,65,15,12m-1m,5,8,3,,-0.15,,2.628,89.04,33.88,1.538,2.451,3.0
15,5,65,15,12m-1m,5,8,3,,-0.15,0.65,2.628,89.04,33.88,1.538,2.451,3.0
20,5,60,15,12m,5,8,7,-0.1,-0.15,,2.628,81.86,31.15,1.652,2.585,5.1
20,5,60,15,12m,5,8,7,-0.1,-0.15,0.65,2.628,81.86,31.15,1.652,2.585,5.1
15,5,65,15,12m-1m,5,8,3,,-0.15,0.6,2.628,89.04,33.88,1.538,2.451,3.0
20,5,60,15,12m,7,12,3,-0.1,-0.15,,2.627,94.99,36.16,1.593,2.615,3.0
20,0,65,15,12m,7,12,3,-0.1,-0.15,0.65,2.627,95.68,36.42,1.589,2.655,3.0
20,0,65,15,12m,7,12,3,-0.1,-0.15,0.6,2.627,95.68,36.42,1.589,2.655,3.0
20,5,60,15,12m,7,12,3,-0.1,-0.15,0.6,2.627,94.99,36.16,1.593,2.615,3.0
20,5,60,15,12m,7,12,3,-0.1,-0.15,0.65,2.627,94.99,36.16,1.593,2.615,3.0
20,0,65,15,12m,7,12,3,-0.1,-0.15,,2.627,95.68,36.42,1.589,2.655,3.0
20,5,60,15,12m,5,12,3,-0.12,-0.15,,2.626,95.05,36.19,1.604,2.609,3.0
20,5,60,15,12m,5,12,3,-0.12,-0.15,0.65,2.626,95.05,36.19,1.604,2.609,3.0
20,5,60,15,12m,5,12,3,-0.12,-0.15,0.6,2.626,95.05,36.19,1.604,2.609,3.0
20,0,70,10,12m,7,12,3,-0.1,-0.15,0.6,2.623,105.87,40.36,1.719,2.787,3.0
20,0,65,15,12m-1m,5,8,5,-0.08,-0.2,,2.623,79.87,30.45,1.628,2.597,4.7
20,0,70,10,12m,7,12,3,-0.1,-0.15,,2.623,105.87,40.36,1.719,2.787,3.0
20,0,65,15,12m-1m,5,8,5,-0.08,-0.2,0.6,2.623,79.87,30.45,1.628,2.597,4.7
20,0,70,10,12m,7,12,3,-0.1,-0.15,0.65,2.623,105.87,40.36,1.719,2.787,3.0
20,0,65,15,12m-1m,5,8,5,-0.08,-0.2,0.65,2.623,79.87,30.45,1.628,2.597,4.7
20,5,60,15,12m,5,8,7,-0.1,,0.6,2.62,81.6,31.15,1.654,2.587,5.1
20,5,60,15,12m,5,8,7,-0.1,,0.65,2.62,81.6,31.15,1.654,2.587,5.1
20,5,60,15,12m,7,8,3,-0.08,-0.2,0.6,2.62,95.81,36.57,1.589,2.542,3.0
20,5,60,15,12m,7,8,3,-0.08,-0.2,0.65,2.62,95.81,36.57,1.589,2.542,3.0
20,5,60,15,12m,7,8,3,-0.08,-0.2,,2.62,95.81,36.57,1.589,2.542,3.0
20,5,60,15,12m,5,8,7,-0.1,,,2.62,81.6,31.15,1.654,2.587,5.1
20,5,60,15,12m,5,12,3,,-0.15,0.65,2.618,94.74,36.19,1.601,2.602,3.0
20,5,60,15,12m,5,12,3,,-0.15,0.6,2.618,94.74,36.19,1.601,2.602,3.0
20,5,60,15,12m,5,12,3,,-0.15,,2.618,94.74,36.19,1.601,2.602,3.0
20,5,60,15,12m,5,8,7,-0.12,-0.15,,2.617,81.51,31.15,1.648,2.573,5.1
