sub1,sub2,ratio,avg_cal,avg_cagr,avg_sharpe,avg_sortino,min_cal,borda
rev_z,rev_accel_z,0.25,1.0122,38.566,1.0426,1.5016,0.291,697.0
rev_accel_z,cfo_growth_z,0.45,0.9311999999999999,35.736000000000004,0.9882,1.4504,0.549,689.0
rev_z,rev_accel_z,0.4,0.9256,37.004,1.0126,1.489,0.444,680.0
rev_accel_z,op_margin_z,0.7,0.812,37.294,1.0268,1.456,0.515,660.5
rev_z,cfo_growth_z,0.85,0.9214,36.762,0.9833999999999999,1.3988,0.504,658.0
oca_z,rev_accel_z,0.1,0.8606,35.168,0.9846,1.427,0.558,654.0
rev_z,cfo_growth_z,0.55,0.9026,34.012,0.9346,1.3426,0.761,652.0
oca_z,rev_accel_z,0.3,0.8444,36.336,0.994,1.4294,0.509,649.0
rev_z,rev_accel_z,0.15,0.9756,37.414,1.0226000000000002,1.4772,0.308,646.0
op_margin_z,cfo_growth_z,0.3,0.8526,34.096000000000004,0.9538,1.3864,0.636,633.5
rev_accel_z,op_margin_z,0.85,0.86,35.583999999999996,0.9938,1.4495999999999998,0.444,630.5
rev_accel_z,cfo_growth_z,0.75,0.9812,35.248000000000005,0.9823999999999999,1.4274,0.37,629.0
oca_z,gp_growth_z,0.35,0.9046,35.815999999999995,0.967,1.4116,0.456,624.0
rev_accel_z,op_margin_z,0.8,0.79,35.288,0.9934000000000001,1.4309999999999998,0.533,614.5
rev_accel_z,op_margin_z,0.6,0.8248,35.104,0.9806000000000001,1.3858000000000001,0.558,613.0
rev_accel_z,gp_growth_z,0.9,0.8718,34.064,0.9636000000000001,1.385,0.554,611.0
rev_accel_z,op_margin_z,0.75,0.7948000000000001,35.176,0.9889999999999999,1.4162,0.515,601.5
oca_z,cfo_growth_z,0.4,0.7814,34.136,0.9452,1.3608,0.679,600.5
oca_z,rev_accel_z,0.05,0.8632,34.186,0.9635999999999999,1.3872,0.483,599.0
rev_accel_z,op_margin_z,0.9,0.8433999999999999,34.256,0.9692000000000001,1.3958,0.475,598.0
rev_accel_z,cfo_growth_z,0.55,0.8911999999999999,34.516,0.9642,1.4134,0.439,597.5
rev_z,cfo_growth_z,0.45,0.8734,33.12,0.9234,1.3292,0.683,585.0
op_margin_z,cfo_growth_z,0.55,0.8118000000000001,35.025999999999996,0.9687999999999999,1.3996,0.474,584.0
rev_z,rev_accel_z,0.1,0.8386000000000001,34.256,0.9694,1.392,0.458,583.5
gp_growth_z,op_margin_z,0.55,0.8558,35.47,0.968,1.3916,0.419,583.0
op_margin_z,cfo_growth_z,0.4,0.8566,34.153999999999996,0.9516,1.381,0.473,581.0
op_margin_z,cfo_growth_z,0.45,0.8023999999999999,34.010000000000005,0.9518000000000001,1.3776,0.572,574.5
oca_z,rev_accel_z,0.45,0.7976,32.954,0.9308,1.3504,0.688,571.0
oca_z,rev_accel_z,0.35,0.7674000000000001,33.606,0.9418,1.3482,0.642,562.0
rev_z,gp_growth_z,0.2,0.834,34.513999999999996,0.9488,1.3548,0.46,558.5
oca_z,rev_accel_z,0.4,0.7602,33.28,0.9353999999999999,1.3544,0.663,555.0
op_margin_z,cfo_growth_z,0.25,0.8172,33.019999999999996,0.9328,1.3546,0.574,549.0
gp_growth_z,op_margin_z,0.6,0.8374,34.16,0.9446,1.3708,0.415,544.0
rev_accel_z,op_margin_z,0.65,0.7736,34.932,0.9822,1.3968,0.429,544.0
oca_z,cfo_growth_z,0.3,0.7904,33.438,0.9341999999999999,1.3598000000000001,0.557,536.0
op_margin_z,cfo_growth_z,0.35,0.7929999999999999,32.982,0.9328,1.3452,0.625,533.5
oca_z,cfo_growth_z,0.25,0.7952,32.596000000000004,0.921,1.3518000000000001,0.613,523.0
rev_accel_z,cfo_growth_z,0.6,0.8764,32.714,0.9339999999999999,1.3594,0.387,515.0
rev_accel_z,cfo_growth_z,1.0,0.834,32.678,0.9369999999999999,1.3454000000000002,0.464,513.0
rev_z,rev_accel_z,0.0,0.834,32.678,0.9369999999999999,1.3454000000000002,0.464,513.0
oca_z,rev_accel_z,0.0,0.834,32.678,0.9369999999999999,1.3454000000000002,0.464,513.0
rev_accel_z,op_margin_z,1.0,0.834,32.678,0.9369999999999999,1.3454000000000002,0.464,513.0
rev_accel_z,gp_growth_z,1.0,0.834,32.678,0.9369999999999999,1.3454000000000002,0.464,513.0
rev_accel_z,op_margin_z,0.95,0.8294,32.706,0.9381999999999999,1.3481999999999998,0.449,509.0
gp_growth_z,op_margin_z,0.65,0.8747999999999999,33.616,0.9283999999999999,1.3454000000000002,0.377,507.0
oca_z,gp_growth_z,0.3,0.8204,33.586,0.9286,1.35,0.398,491.5
rev_z,cfo_growth_z,0.8,0.8583999999999999,33.977999999999994,0.9282,1.3206,0.391,488.0
rev_accel_z,cfo_growth_z,0.8,0.8784000000000001,33.054,0.9388,1.3614000000000002,0.284,483.0
rev_z,gp_growth_z,0.15,0.8220000000000001,33.364,0.9258000000000001,1.322,0.441,477.0
rev_accel_z,cfo_growth_z,0.65,0.8119999999999999,32.242000000000004,0.9262,1.35,0.45,475.5
oca_z,cfo_growth_z,0.2,0.7642,32.186,0.9120000000000001,1.3312000000000002,0.578,471.0
rev_z,cfo_growth_z,0.4,0.7975999999999999,31.944,0.9034000000000001,1.2955999999999999,0.598,470.0
rev_z,cfo_growth_z,0.5,0.8042,31.036,0.882,1.2706,0.665,459.0
rev_accel_z,cfo_growth_z,0.2,0.724,31.272000000000002,0.8997999999999999,1.3278,0.66,455.5
oca_z,gp_growth_z,0.25,0.8023999999999999,33.510000000000005,0.9278000000000001,1.3436,0.368,451.5
gp_growth_z,op_margin_z,0.7,0.8446,33.342,0.9202,1.3317999999999999,0.321,445.5
rev_accel_z,cfo_growth_z,0.85,0.8426,31.832,0.9236000000000001,1.3358,0.364,439.0
op_margin_z,cfo_growth_z,0.2,0.7556,31.058,0.899,1.2938,0.573,424.0
op_margin_z,cfo_growth_z,0.5,0.7104,32.314,0.9204000000000001,1.3296,0.505,424.0
rev_accel_z,gp_growth_z,0.95,0.8176,32.168,0.9246000000000001,1.3321999999999998,0.343,420.0
rev_accel_z,gp_growth_z,0.15,0.8009999999999999,33.1,0.9176,1.3324,0.313,412.0
oca_z,cfo_growth_z,0.35,0.7382,31.394,0.8917999999999999,1.2992000000000001,0.51,400.0
rev_accel_z,cfo_growth_z,0.95,0.8074,31.215999999999998,0.9099999999999999,1.3066,0.369,392.0
rev_accel_z,gp_growth_z,0.2,0.7864,32.618,0.9081999999999999,1.3254,0.331,386.0
gp_growth_z,op_margin_z,0.75,0.8046,32.339999999999996,0.9012,1.3028,0.32,380.0
rev_z,cfo_growth_z,0.75,0.8158,32.58,0.9040000000000001,1.2838,0.308,379.5
gp_growth_z,cfo_growth_z,0.8,0.7492,31.25,0.8943999999999999,1.283,0.425,366.0
rev_accel_z,cfo_growth_z,0.9,0.76,30.542,0.8976,1.2824,0.454,366.0
rev_accel_z,cfo_growth_z,0.7,0.7514000000000001,31.881999999999998,0.9158,1.3214000000000001,0.327,364.0
rev_accel_z,gp_growth_z,0.1,0.7628,32.53,0.9018,1.3,0.318,359.0
oca_z,gp_growth_z,0.2,0.7624000000000001,31.528,0.892,1.2828,0.375,358.0
gp_growth_z,cfo_growth_z,0.2,0.7614000000000001,30.736,0.8826,1.291,0.382,348.0
rev_accel_z,gp_growth_z,0.85,0.6902,31.631999999999998,0.9116,1.3112,0.351,342.0
rev_accel_z,cfo_growth_z,0.15,0.7462,30.613999999999997,0.8854000000000001,1.2912,0.385,339.0
rev_accel_z,gp_growth_z,0.25,0.7968,31.422000000000004,0.8798,1.2726,0.307,328.0
rev_z,rev_accel_z,0.05,0.7378,30.65,0.8948,1.2826,0.35,322.0
rev_z,cfo_growth_z,0.1,0.7180000000000001,30.002,0.868,1.275,0.411,312.0
rev_z,cfo_growth_z,0.2,0.7032,28.890000000000004,0.8513999999999999,1.2315999999999998,0.475,303.5
rev_z,gp_growth_z,0.05,0.7468,31.148000000000003,0.8812,1.259,0.308,299.5
gp_growth_z,cfo_growth_z,0.15,0.736,29.744,0.8634000000000001,1.2542,0.373,296.0
rev_z,gp_growth_z,0.1,0.7302,30.451999999999998,0.8698,1.2344,0.374,295.0
gp_growth_z,cfo_growth_z,0.7,0.7894,30.964,0.8798,1.27,0.259,287.5
gp_growth_z,cfo_growth_z,0.25,0.7222,28.922000000000004,0.8506,1.2402,0.403,284.0
gp_growth_z,op_margin_z,0.8,0.7774,30.71,0.8694000000000001,1.2526,0.271,283.0
op_margin_z,cfo_growth_z,0.15,0.6626000000000001,28.406,0.8452,1.2231999999999998,0.545,281.5
op_margin_z,cfo_growth_z,0.1,0.6706,29.086000000000002,0.857,1.2504,0.413,273.0
gp_growth_z,cfo_growth_z,0.85,0.7252,28.954,0.8470000000000001,1.2146,0.355,257.0
gp_growth_z,op_margin_z,0.85,0.7762,30.326,0.8619999999999999,1.2388,0.23,252.0
oca_z,gp_growth_z,0.15,0.751,30.565999999999995,0.8666,1.2408,0.238,251.0
rev_accel_z,gp_growth_z,0.75,0.6980000000000001,30.79,0.89,1.2724,0.22,249.0
rev_accel_z,gp_growth_z,0.8,0.6732,30.668,0.8847999999999999,1.247,0.291,248.5
oca_z,cfo_growth_z,0.15,0.6719999999999999,28.486,0.8431999999999998,1.2353999999999998,0.409,247.0
rev_z,cfo_growth_z,0.35,0.6872,28.518,0.8390000000000001,1.2002,0.428,244.0
gp_growth_z,cfo_growth_z,0.65,0.6956,28.8,0.8394,1.2114,0.376,241.0
oca_z,gp_growth_z,0.05,0.7132,30.196000000000005,0.8606,1.2378,0.283,239.0
rev_z,cfo_growth_z,0.3,0.6686,28.492,0.8388,1.2022,0.404,226.0
oca_z,gp_growth_z,0.1,0.7332,30.072000000000003,0.8560000000000001,1.2292,0.234,222.0
rev_accel_z,gp_growth_z,0.05,0.7028000000000001,30.282,0.8577999999999999,1.2352,0.198,210.0
rev_accel_z,gp_growth_z,0.3,0.7478,29.381999999999998,0.8380000000000001,1.196,0.162,189.0
gp_growth_z,cfo_growth_z,1.0,0.6848,28.863999999999997,0.8368,1.202,0.27,175.0
gp_growth_z,op_margin_z,1.0,0.6848,28.863999999999997,0.8368,1.202,0.27,175.0
oca_z,gp_growth_z,0.0,0.6848,28.863999999999997,0.8368,1.202,0.27,175.0
rev_accel_z,gp_growth_z,0.0,0.6848,28.863999999999997,0.8368,1.202,0.27,175.0
rev_z,gp_growth_z,0.0,0.6848,28.863999999999997,0.8368,1.202,0.27,175.0
rev_accel_z,gp_growth_z,0.7,0.6752,28.924,0.8455999999999999,1.2222,0.086,174.0
