v,q,g,m,mom,g_sub,entry,exit,slots,cal,cagr,mdd,sharpe,sortino
30,5,35,30,6m,rev+oca 7:3,10,15,3,1.086,58.19,53.6,0.65,2.837
30,5,35,30,6m,rev+oca 7:3,5,8,7,1.085,59.91,55.23,0.735,2.804
30,0,35,35,6m,rev+oca 7:3,10,13,5,1.085,51.67,47.64,0.688,2.548
20,5,35,40,6m,rev+opm 7:3,5,7,5,1.083,58.71,54.2,0.792,2.503
25,0,35,40,6m-1m,rev+opm 7:3,7,11,7,1.083,55.84,51.55,0.8,2.452
30,15,25,30,6m,rev+oca 7:3,5,7,7,1.082,52.59,48.58,0.695,2.484
25,0,35,40,6m-1m,rev+opm 7:3,5,8,5,1.078,57.78,53.58,0.803,2.519
30,0,35,35,6m,rev+oca 7:3,5,9,5,1.077,54.97,51.04,0.704,2.679
20,10,35,35,6m,rev+opm 7:3,7,12,3,1.076,65.42,60.82,0.688,2.944
20,10,35,35,6m,rev+opm 7:3,10,12,3,1.076,65.42,60.82,0.688,2.944
30,5,35,30,6m,rev+oca 7:3,10,12,7,1.075,54.33,50.56,0.852,2.392
20,20,35,25,6m-1m,rev+opm 7:3,7,11,7,1.074,50.36,46.91,0.747,2.395
20,5,35,40,6m,rev+opm 7:3,10,15,7,1.073,54.33,50.61,0.906,2.294
30,0,35,35,6m,rev+oca 7:3,7,10,7,1.072,48.6,45.33,0.796,2.255
30,0,35,35,6m,rev+oca 7:3,10,15,5,1.072,55.27,51.57,0.712,2.63
20,20,35,25,6m-1m,rev+opm 7:3,5,10,3,1.07,52.16,48.76,0.616,2.557
30,5,35,30,6m,rev+oca 7:3,5,6,5,1.07,61.96,57.89,0.749,2.795
30,10,35,25,6m-1m,rev+oca 7:3,10,12,7,1.07,51.4,48.06,0.76,2.466
30,20,10,40,6m-1m,rev+opm 7:3,5,7,3,1.07,66.78,62.41,0.587,3.61
25,15,35,25,6m-1m,rev+opm 7:3,5,10,5,1.069,59.94,56.09,0.655,2.994
30,5,35,30,6m,rev+oca 7:3,5,7,3,1.068,57.17,53.52,0.645,2.838
30,5,35,30,6m-1m,rev+opm 7:3,5,9,5,1.066,54.99,51.6,0.63,2.865
25,20,35,20,6m,rev+oca 7:3,3,7,3,1.066,62.61,58.76,0.582,3.311
25,0,35,40,6m-1m,rev+opm 7:3,5,7,7,1.065,55.62,52.21,0.798,2.403
25,0,35,40,6m-1m,rev+opm 7:3,7,10,5,1.065,54.51,51.18,0.776,2.439
30,5,35,30,6m,rev+oca 7:3,7,10,3,1.064,49.58,46.6,0.603,2.396
30,5,35,30,6m-1m,rev+opm 7:3,7,12,7,1.063,54.11,50.9,0.706,2.56
20,10,35,35,6m,rev+opm 7:3,5,9,3,1.063,68.95,64.88,0.705,2.998
25,0,35,40,6m-1m,rev+opm 7:3,10,12,5,1.061,52.08,49.07,0.757,2.374
25,20,35,20,6m,rev+oca 7:3,7,8,7,1.06,48.26,45.54,0.734,2.359
30,5,35,30,6m,rev+oca 7:3,5,7,7,1.055,58.76,55.7,0.729,2.751
25,15,35,25,6m-1m,rev+opm 7:3,10,13,7,1.054,52.76,50.08,0.696,2.61
20,20,35,25,6m-1m,rev+opm 7:3,10,14,7,1.054,48.06,45.58,0.733,2.309
25,0,35,40,6m,rev+opm 7:3,10,15,5,1.053,50.47,47.93,0.745,2.289
20,20,35,25,6m-1m,rev+opm 7:3,10,14,5,1.051,54.88,52.22,0.628,2.882
30,0,35,35,6m,rev+oca 7:3,5,10,3,1.051,56.68,53.9,0.643,2.832
