atk,def,rule,cagr,mdd,cal,sh,sort,sw,boost
A7_2f_roc_G55M25,D3_3f_roo_M60S7,B126_40_4d,106.27,32.75,3.245,1.854,2.916,17,57.253685027152834
A4_3f_roo_G60M30,D6_2f_rvo_M60,KK_MA60_5d,97.83,30.14,3.245,1.746,2.826,19,49.18541505042669
A7_2f_roc_G55M25,D4_3f_rog_M60S5,KP_MA120_5d,106.82,32.93,3.244,1.848,2.96,15,57.79674166020171
A5_3f_rog_G70M25,D1_3f_rog_M60S7,KP_MA120_3d,104.22,32.15,3.242,1.787,2.87,15,57.951900698215674
A4_3f_roo_G60M30,D5_2f_rao_M55,B126_35_3d,116.19,35.84,3.242,1.889,2.871,19,67.57176105508145
A7_2f_roc_G55M25,D2_2f_oar_V40G40,KP_MA250_5d,100.63,31.07,3.238,1.819,2.822,13,47.478665632273085
A2_3f_rog_G65M30,D7_3f_rog_E7S7,KP_MA250_2d,106.23,32.82,3.237,1.875,2.944,25,48.87509697439876
A4_3f_roo_G60M30,D3_3f_roo_M60S7,B126_35_5d,111.24,34.36,3.237,1.856,2.886,15,67.88207913110938
A3_3f_rog_G60M25,D2_2f_oar_V40G40,KP_MA200_5d,98.41,30.41,3.236,1.786,2.764,15,53.60744763382467
A7_2f_roc_G55M25,D1_3f_rog_M60S7,KP_MA150_4d,105.28,32.54,3.236,1.831,2.924,21,57.176105508145845
A7_2f_roc_G55M25,D3_3f_roo_M60S7,KP_MA150_5d,108.07,33.39,3.236,1.879,3.011,15,56.788207913110945
A2_3f_rog_G65M30,D3_3f_roo_M60S7,B126_30_5d,111.17,34.36,3.235,1.829,2.871,13,72.53685027152832
A4_3f_roo_G60M30,D4_3f_rog_M60S5,B126_35_3d,106.93,33.05,3.235,1.779,2.763,19,67.57176105508145
A4_3f_roo_G60M30,D7_3f_rog_E7S7,KP_MA150_2d,99.51,30.78,3.233,1.793,2.841,25,56.788207913110945
A1_3f_rgp_G60M40,D6_2f_rvo_M60,KK_MA120_5d,110.52,34.21,3.231,1.85,3.016,15,50.116369278510476
