v,q,g,m,gr,mom,cagr,mdd,cal,sh,sort
25,15,20,40,0.6,6m,51.59,33.01,1.563,1.235,1.781
15,15,30,40,0.8,6m-1m,53.35,34.16,1.562,1.281,1.875
30,5,20,45,0.4,6m-1m,48.77,31.24,1.561,1.24,1.754
30,10,20,40,0.4,6m-1m,49.6,31.79,1.56,1.265,1.774
15,15,15,55,0.6,6m,63.72,40.86,1.559,1.43,2.043
20,20,25,35,0.7,6m-1m,56.23,36.1,1.558,1.341,1.927
25,0,30,45,0.3,6m-1m,49.83,32.0,1.557,1.267,1.87
10,20,20,50,0.5,6m-1m,57.51,36.96,1.556,1.383,1.96
20,15,25,40,0.3,6m-1m,63.94,41.13,1.555,1.471,1.99
10,20,25,45,0.8,6m,50.41,32.47,1.553,1.22,1.776
15,0,35,50,0.4,6m-1m,60.22,38.78,1.553,1.4,2.066
10,10,35,45,0.5,6m,51.96,33.46,1.553,1.24,1.8
10,15,20,55,0.7,6m-1m,57.17,36.84,1.552,1.352,1.925
20,0,35,45,0.5,6m,54.07,34.88,1.55,1.284,1.851
10,15,30,45,0.6,6m-1m,59.87,38.65,1.549,1.361,1.971
25,5,25,45,0.3,6m,53.55,34.62,1.547,1.304,1.886
20,5,35,40,0.4,6m,51.75,33.47,1.546,1.262,1.803
20,15,15,50,0.7,6m-1m,53.74,34.79,1.545,1.326,1.895
20,20,30,30,0.4,6m,46.54,30.13,1.545,1.152,1.652
15,0,35,50,0.5,6m-1m,63.75,41.28,1.544,1.45,2.107
25,5,15,55,0.6,6m-1m,52.51,34.02,1.544,1.296,1.833
20,5,20,55,0.4,6m-1m,52.49,34.0,1.544,1.297,1.828
15,5,35,45,0.3,6m-1m,54.34,35.19,1.544,1.312,1.898
30,15,15,40,0.5,6m-1m,44.06,28.55,1.543,1.16,1.648
20,15,20,45,0.6,6m,51.78,33.58,1.542,1.245,1.751
10,10,40,40,0.3,6m,51.14,33.22,1.54,1.222,1.85
10,10,20,60,0.7,6m-1m,54.56,35.42,1.54,1.307,1.841
25,5,20,50,0.4,6m,53.6,34.82,1.539,1.276,1.841
25,10,10,55,0.6,6m-1m,42.58,27.7,1.537,1.137,1.573
15,20,20,45,0.7,6m-1m,53.53,34.86,1.536,1.292,1.822
10,20,15,55,0.3,6m,60.53,39.44,1.535,1.41,2.017
20,15,30,35,0.3,6m,54.45,35.46,1.535,1.292,1.862
15,0,25,60,0.6,6m,55.62,36.36,1.53,1.306,1.832
20,0,35,45,0.4,6m-1m,50.32,32.92,1.529,1.249,1.82
25,0,25,50,0.5,6m,58.34,38.23,1.526,1.362,2.017
25,10,15,50,0.8,6m-1m,53.63,35.16,1.525,1.309,1.822
30,5,30,35,0.3,6m-1m,48.08,31.53,1.525,1.232,1.854
10,15,30,45,0.5,6m-1m,59.49,39.03,1.524,1.361,1.981
10,15,35,40,0.3,6m,57.57,37.77,1.524,1.314,1.965
15,5,35,45,0.6,6m,51.7,33.95,1.523,1.232,1.731
10,10,30,50,0.6,6m,61.59,40.43,1.523,1.389,2.021
15,20,15,50,0.4,6m-1m,54.86,36.08,1.521,1.363,1.864
10,20,25,45,0.6,6m,56.81,37.34,1.521,1.332,1.932
20,5,40,35,0.4,6m-1m,59.84,39.35,1.521,1.36,1.879
15,15,15,55,0.7,6m-1m,58.95,38.79,1.52,1.403,1.978
20,5,25,50,0.5,6m,57.88,38.15,1.517,1.33,1.876
20,5,35,40,0.6,6m,50.06,33.09,1.513,1.218,1.737
20,0,20,60,0.4,6m-1m,56.74,37.53,1.512,1.353,1.918
25,10,20,45,0.4,6m,46.82,30.99,1.511,1.165,1.659
25,15,15,45,0.3,6m-1m,52.91,35.04,1.51,1.346,1.855
20,15,25,40,0.6,6m,50.57,33.49,1.51,1.232,1.79
15,20,25,40,0.8,6m-1m,49.71,32.94,1.509,1.236,1.737
10,20,20,50,0.3,6m,58.26,38.65,1.507,1.362,1.906
15,5,35,45,0.7,6m,51.88,34.44,1.506,1.239,1.773
20,20,30,30,0.4,6m-1m,53.76,35.79,1.502,1.285,1.766
25,5,30,40,0.3,6m,55.55,37.02,1.5,1.335,1.997
20,10,35,35,0.3,6m-1m,67.18,44.84,1.498,1.486,2.015
25,10,15,50,0.7,6m,45.44,30.35,1.497,1.142,1.6
15,15,35,35,0.4,6m-1m,55.21,36.9,1.496,1.298,1.841
30,5,15,50,0.3,6m-1m,46.72,31.26,1.495,1.218,1.742
25,5,20,50,0.8,6m-1m,55.87,37.36,1.495,1.33,1.877
10,20,25,45,0.5,6m,53.76,35.98,1.494,1.283,1.83
15,5,30,50,0.3,6m-1m,55.97,37.46,1.494,1.341,1.952
10,15,25,50,0.8,6m-1m,56.69,37.94,1.494,1.318,1.866
25,10,25,40,0.3,6m-1m,59.46,39.8,1.494,1.373,1.835
20,20,20,40,0.4,6m,48.12,32.25,1.492,1.199,1.695
20,10,20,50,0.7,6m,52.77,35.42,1.49,1.263,1.8
10,15,25,50,0.5,6m-1m,58.13,39.04,1.489,1.362,1.937
25,0,20,55,0.5,6m-1m,53.94,36.23,1.489,1.302,1.907
10,15,15,60,0.3,6m,62.91,42.3,1.487,1.424,2.034
25,10,30,35,0.3,6m-1m,63.77,42.9,1.487,1.455,1.953
25,0,35,40,0.4,6m-1m,50.53,34.0,1.486,1.27,1.869
25,10,25,40,0.6,6m,45.18,30.42,1.485,1.138,1.64
20,5,15,60,0.5,6m-1m,48.72,32.82,1.484,1.231,1.725
10,20,15,55,0.8,6m-1m,50.75,34.24,1.482,1.257,1.734
15,15,15,55,0.7,6m,63.49,42.84,1.482,1.43,2.035
15,15,15,55,0.4,6m,60.41,40.79,1.481,1.389,2.006
10,15,35,40,0.3,6m-1m,56.65,38.25,1.481,1.328,1.941
15,10,30,45,0.7,6m-1m,57.23,38.66,1.481,1.331,1.854
15,0,30,55,0.6,6m,61.17,41.35,1.479,1.391,2.002
15,10,20,55,0.8,6m-1m,58.61,39.65,1.478,1.373,1.94
10,15,15,60,0.4,6m,62.63,42.41,1.477,1.427,2.035
30,5,20,45,0.3,6m,47.7,32.34,1.475,1.21,1.77
10,20,30,40,0.3,6m,51.94,35.2,1.475,1.23,1.752
10,5,30,55,0.4,6m-1m,51.43,34.87,1.475,1.251,1.778
15,0,30,55,0.8,6m-1m,61.33,41.61,1.474,1.405,1.989
