v,q,g,m,g_rev,mom,calmar,cagr,mdd,sharpe,sortino
15,10,30,45,0.3,12m,1.515,61.55,40.64,1.396,2.087
10,5,40,45,0.4,12m-1m,1.515,65.19,43.02,1.441,2.195
20,5,40,35,0.3,12m,1.514,61.59,40.68,1.372,2.069
0,10,45,45,0.6,12m,1.514,64.99,42.94,1.387,2.119
15,10,30,45,0.8,12m,1.514,56.02,37.0,1.29,1.811
15,10,35,40,0.8,12m,1.514,65.41,43.21,1.415,2.11
5,15,35,45,0.3,12m,1.513,62.84,41.54,1.377,2.081
10,25,20,45,1.0,6m,1.513,60.75,40.15,1.376,1.982
5,25,25,45,0.9,6m-1m,1.513,51.06,33.74,1.228,1.773
10,25,20,45,0.6,6m-1m,1.513,58.71,38.8,1.375,2.011
0,25,25,50,0.7,6m,1.513,52.24,34.52,1.239,1.853
20,20,25,35,0.6,6m-1m,1.511,44.83,29.66,1.135,1.648
10,25,20,45,0.7,6m,1.511,54.19,35.87,1.287,1.921
0,5,40,55,0.4,12m,1.511,68.44,45.29,1.463,2.229
15,5,30,50,0.9,12m-1m,1.51,58.64,38.84,1.362,1.9
15,5,25,55,0.6,6m-1m,1.51,54.31,35.96,1.28,1.747
10,5,45,40,0.9,12m,1.51,61.89,40.98,1.353,2.018
0,20,20,60,0.7,6m,1.51,45.62,30.21,1.145,1.651
20,0,55,25,0.4,6m,1.509,53.56,35.49,1.252,1.86
20,5,25,50,0.8,12m-1m,1.508,50.78,33.69,1.248,1.752
10,25,25,40,0.5,12m,1.508,55.12,36.55,1.28,1.927
5,15,25,55,0.3,6m-1m,1.507,56.22,37.32,1.327,1.973
15,30,10,45,0.9,6m,1.507,53.36,35.42,1.297,1.883
5,20,35,40,0.3,6m-1m,1.505,55.07,36.61,1.259,1.945
15,15,25,45,0.4,6m,1.504,52.64,34.99,1.255,1.865
20,0,40,40,0.6,12m,1.504,59.85,39.81,1.323,1.949
5,10,35,50,0.7,12m,1.504,61.69,41.01,1.386,2.004
15,15,25,45,0.5,6m,1.504,57.29,38.11,1.312,1.91
15,5,35,45,0.8,12m,1.503,58.81,39.14,1.329,1.892
10,20,25,45,0.5,6m,1.503,51.95,34.57,1.225,1.751
0,15,30,55,0.3,6m-1m,1.501,55.41,36.92,1.292,1.935
0,5,50,45,0.3,12m,1.501,72.68,48.4,1.498,2.349
5,25,20,50,1.0,6m,1.501,52.35,34.86,1.247,1.794
15,15,25,45,0.9,6m-1m,1.5,56.86,37.91,1.32,1.89
25,5,50,20,0.3,12m,1.5,58.13,38.76,1.328,2.007
15,5,25,55,0.7,12m-1m,1.499,53.9,35.96,1.301,1.825
15,15,20,50,0.4,6m-1m,1.499,56.36,37.6,1.322,1.816
20,10,15,55,1.0,6m-1m,1.499,46.27,30.87,1.185,1.636
5,30,15,50,0.7,6m,1.499,50.44,33.66,1.235,1.845
0,25,15,60,0.7,6m,1.498,57.34,38.28,1.355,1.978
20,5,40,35,0.3,12m-1m,1.498,61.51,41.05,1.379,2.065
