v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
10,5,65,20,12m,1.587,68.65,43.26,1.434,2.284
20,5,45,30,12m,1.586,67.78,42.74,1.464,2.223
20,0,35,45,12m,1.585,46.05,29.05,1.164,1.701
25,15,25,35,12m,1.585,47.53,29.99,1.197,1.752
15,10,60,15,6m,1.584,59.58,37.62,1.31,2.031
20,10,30,40,12m,1.583,52.49,33.17,1.257,1.81
20,10,40,30,12m-1m,1.581,62.93,39.79,1.424,2.092
20,15,25,40,12m-1m,1.581,45.09,28.52,1.168,1.671
20,0,55,25,12m-1m,1.58,57.71,36.53,1.335,2.088
15,10,60,15,12m-1m,1.58,57.88,36.62,1.319,2.064
30,10,30,30,12m-1m,1.576,44.58,28.28,1.167,1.7
10,5,70,15,12m,1.575,65.09,41.34,1.395,2.208
0,15,50,35,6m-1m,1.575,58.51,37.15,1.327,2.024
10,20,45,25,6m,1.575,62.27,39.54,1.385,2.119
0,20,20,60,12m,1.574,55.77,35.42,1.309,1.933
15,5,65,15,6m,1.57,64.99,41.38,1.409,2.198
25,0,65,10,6m,1.569,59.87,38.15,1.361,2.072
25,0,40,35,6m-1m,1.568,51.82,33.05,1.263,1.891
15,10,40,35,6m,1.565,58.8,37.56,1.33,1.978
5,10,55,30,12m,1.565,62.29,39.79,1.364,2.111
20,0,40,40,6m-1m,1.563,46.7,29.88,1.187,1.757
0,5,70,25,12m,1.562,70.28,44.98,1.461,2.326
0,20,40,40,6m,1.562,66.9,42.83,1.447,2.17
15,10,65,10,12m,1.561,57.88,37.08,1.305,2.067
0,25,20,55,12m,1.561,60.02,38.45,1.383,2.051
15,10,65,10,12m-1m,1.561,56.63,36.29,1.296,2.052
15,5,60,20,6m-1m,1.56,62.31,39.95,1.379,2.162
10,25,35,30,12m,1.56,53.72,34.44,1.247,1.882
25,10,35,30,12m,1.555,54.86,35.29,1.296,1.894
5,5,50,40,12m,1.555,57.14,36.75,1.299,1.973
5,30,20,45,12m-1m,1.554,50.48,32.49,1.252,1.868
15,15,45,25,12m-1m,1.552,56.08,36.12,1.293,1.963
5,0,65,30,12m,1.549,67.9,43.85,1.451,2.306
10,15,40,35,12m-1m,1.547,56.56,36.57,1.307,1.976
25,15,30,30,12m-1m,1.546,56.37,36.46,1.33,1.915
20,0,45,35,12m-1m,1.545,59.21,38.31,1.371,2.072
0,20,25,55,12m,1.543,56.64,36.7,1.337,1.979
5,25,15,55,12m-1m,1.542,48.05,31.16,1.215,1.745
5,30,30,35,12m,1.538,55.89,36.35,1.283,1.947
5,35,10,50,12m-1m,1.538,45.85,29.81,1.174,1.711
15,10,50,25,12m,1.537,59.37,38.64,1.328,1.994
0,10,50,40,12m-1m,1.535,55.35,36.06,1.275,1.996
15,5,35,45,12m-1m,1.535,49.22,32.07,1.218,1.769
10,20,30,40,12m-1m,1.535,55.0,35.84,1.301,1.925
5,35,15,45,6m-1m,1.533,52.68,34.37,1.285,1.831
0,5,70,25,6m-1m,1.532,60.93,39.76,1.341,2.085
