gs1,gs2,gr,v,q,g,m,mom,cagr,mdd,cal,sh,sort
rev_z,rev_accel_z,1.0,35,15,25,25,6m,-26.67,59.51,-0.448,-0.335,-0.319
rev_z,rev_accel_z,1.0,35,15,25,25,6m-1m,-27.57,60.73,-0.454,-0.357,-0.336
rev_z,rev_accel_z,1.0,35,15,25,25,12m,-28.1,63.69,-0.441,-0.373,-0.357
rev_z,rev_accel_z,1.0,35,15,25,25,12m-1m,-24.39,60.37,-0.404,-0.274,-0.261
rev_z,rev_accel_z,1.0,30,10,30,30,6m,-21.84,68.74,-0.318,-0.157,-0.154
rev_z,rev_accel_z,1.0,30,10,30,30,6m-1m,-30.68,65.0,-0.472,-0.441,-0.425
rev_z,rev_accel_z,1.0,30,10,30,30,12m,-22.97,70.78,-0.324,-0.215,-0.213
rev_z,rev_accel_z,1.0,30,10,30,30,12m-1m,-27.22,67.5,-0.403,-0.337,-0.328
rev_z,rev_accel_z,1.0,10,40,30,20,6m,-27.95,65.21,-0.429,-0.547,-0.681
rev_z,rev_accel_z,1.0,10,40,30,20,6m-1m,-13.75,49.82,-0.276,-0.137,-0.169
rev_z,rev_accel_z,1.0,10,40,30,20,12m,-21.58,55.25,-0.39,-0.374,-0.458
rev_z,rev_accel_z,1.0,10,40,30,20,12m-1m,-16.4,54.0,-0.304,-0.217,-0.269
rev_z,rev_accel_z,1.0,15,35,25,25,6m,-25.44,56.66,-0.449,-0.465,-0.561
rev_z,rev_accel_z,1.0,15,35,25,25,6m-1m,-12.0,44.62,-0.269,-0.079,-0.093
rev_z,rev_accel_z,1.0,15,35,25,25,12m,-35.21,75.02,-0.469,-0.565,-0.554
rev_z,rev_accel_z,1.0,15,35,25,25,12m-1m,-30.25,68.34,-0.443,-0.442,-0.446
rev_z,rev_accel_z,1.0,20,30,20,30,6m,-17.23,58.63,-0.294,-0.136,-0.136
rev_z,rev_accel_z,1.0,20,30,20,30,6m-1m,-17.5,51.1,-0.342,-0.134,-0.14
rev_z,rev_accel_z,1.0,20,30,20,30,12m,-27.7,66.21,-0.418,-0.297,-0.276
rev_z,rev_accel_z,1.0,20,30,20,30,12m-1m,-24.94,66.14,-0.377,-0.231,-0.218
rev_z,rev_accel_z,1.0,10,10,60,20,6m,-41.5,74.43,-0.558,-0.738,-0.764
rev_z,rev_accel_z,1.0,10,10,60,20,6m-1m,-39.91,71.58,-0.558,-0.718,-0.761
rev_z,rev_accel_z,1.0,10,10,60,20,12m,-46.4,79.27,-0.585,-0.92,-0.935
rev_z,rev_accel_z,1.0,10,10,60,20,12m-1m,-21.91,64.93,-0.337,-0.197,-0.35
rev_z,rev_accel_z,1.0,15,5,50,30,6m,-35.02,74.61,-0.469,-0.473,-0.475
rev_z,rev_accel_z,1.0,15,5,50,30,6m-1m,-33.55,74.21,-0.452,-0.459,-0.443
rev_z,rev_accel_z,1.0,15,5,50,30,12m,-34.55,72.61,-0.476,-0.525,-0.517
rev_z,rev_accel_z,1.0,15,5,50,30,12m-1m,-36.17,74.56,-0.485,-0.563,-0.547
rev_z,rev_accel_z,1.0,5,5,70,20,6m,-10.81,51.15,-0.211,0.068,0.137
rev_z,rev_accel_z,1.0,5,5,70,20,6m-1m,-4.68,49.54,-0.095,0.174,0.357
rev_z,rev_accel_z,1.0,5,5,70,20,12m,-45.96,77.71,-0.591,-0.886,-0.933
rev_z,rev_accel_z,1.0,5,5,70,20,12m-1m,-45.24,77.09,-0.587,-0.856,-0.911
rev_z,rev_accel_z,1.0,10,10,55,25,6m,-43.86,79.72,-0.55,-0.725,-0.711
rev_z,rev_accel_z,1.0,10,10,55,25,6m-1m,-41.04,73.25,-0.56,-0.648,-0.65
rev_z,rev_accel_z,1.0,10,10,55,25,12m,-45.44,82.07,-0.554,-0.756,-0.721
rev_z,rev_accel_z,1.0,10,10,55,25,12m-1m,-41.24,77.07,-0.535,-0.641,-0.616
rev_z,rev_accel_z,1.0,10,10,20,60,6m,-20.48,84.83,-0.241,-0.027,-0.025
rev_z,rev_accel_z,1.0,10,10,20,60,6m-1m,-15.76,77.93,-0.202,0.191,0.165
