v,q,g,m,mom,entry,exit,slots,sl,trail,corr_th,calmar,cagr,mdd,sharpe,sortino,avg_holdings
20,10,20,50,6m-1m,5,8,7,-0.1,,0.65,2.224,60.02,26.99,1.392,1.95,5.2
15,10,25,50,6m-1m,5,8,7,-0.12,-0.2,,2.221,67.06,30.2,1.514,2.172,5.2
15,10,25,50,6m-1m,5,8,7,-0.12,-0.2,0.6,2.221,67.06,30.2,1.514,2.172,5.2
15,10,25,50,6m-1m,5,8,7,-0.12,-0.2,0.65,2.221,67.06,30.2,1.514,2.172,5.2
15,10,25,50,6m-1m,5,8,7,-0.1,,0.65,2.207,66.5,30.14,1.505,2.158,5.2
15,10,25,50,6m-1m,5,8,7,-0.1,,0.6,2.207,66.5,30.14,1.505,2.158,5.2
15,10,25,50,6m-1m,5,8,7,-0.1,,,2.207,66.5,30.14,1.505,2.158,5.2
20,10,20,50,6m-1m,5,8,7,,,,2.201,59.52,27.04,1.391,1.946,5.3
20,10,20,50,6m-1m,5,8,7,,,0.65,2.201,59.52,27.04,1.391,1.946,5.3
20,10,20,50,6m-1m,5,8,7,,,0.6,2.201,59.52,27.04,1.391,1.946,5.3
15,10,25,50,6m-1m,5,15,7,-0.1,-0.15,,2.199,66.12,30.07,1.539,2.171,6.1
15,10,25,50,6m-1m,5,15,7,-0.1,-0.15,0.65,2.199,66.12,30.07,1.539,2.171,6.1
15,10,25,50,6m-1m,5,15,7,-0.1,-0.15,0.6,2.199,66.12,30.07,1.539,2.171,6.1
20,5,35,40,12m,5,8,7,-0.12,-0.15,0.65,2.196,72.44,32.98,1.569,2.376,5.3
20,5,35,40,12m,5,8,7,-0.12,-0.15,0.6,2.196,72.44,32.98,1.569,2.376,5.3
15,10,25,50,6m-1m,5,8,7,-0.08,-0.2,0.6,2.196,68.21,31.07,1.527,2.196,5.2
15,10,25,50,6m-1m,5,8,7,-0.08,-0.2,,2.196,68.21,31.07,1.527,2.196,5.2
15,10,25,50,6m-1m,5,8,7,-0.08,-0.2,0.65,2.196,68.21,31.07,1.527,2.196,5.2
20,5,35,40,12m,5,8,7,-0.12,-0.15,,2.196,72.44,32.98,1.569,2.376,5.3
20,5,35,40,12m,5,8,5,-0.1,-0.2,0.65,2.195,73.09,33.29,1.556,2.386,4.8
20,5,35,40,12m,5,8,5,-0.1,-0.2,0.6,2.195,73.09,33.29,1.556,2.386,4.8
20,10,20,50,6m-1m,5,8,5,-0.08,,,2.195,60.61,27.62,1.392,1.975,4.7
20,10,20,50,6m-1m,5,8,5,-0.08,,0.65,2.195,60.61,27.62,1.392,1.975,4.7
20,10,20,50,6m-1m,5,8,5,-0.08,,0.6,2.195,60.61,27.62,1.392,1.975,4.7
20,5,35,40,12m,5,8,5,-0.1,-0.2,,2.195,73.09,33.29,1.556,2.386,4.8
15,10,25,50,6m-1m,5,8,5,-0.08,,0.6,2.194,73.49,33.5,1.584,2.286,4.8
15,10,25,50,6m-1m,5,8,5,-0.08,,0.65,2.194,73.49,33.5,1.584,2.286,4.8
15,10,25,50,6m-1m,5,8,5,-0.08,,,2.194,73.49,33.5,1.584,2.286,4.8
20,10,20,50,6m-1m,5,8,7,-0.08,,,2.193,58.91,26.86,1.373,1.917,5.2
20,5,35,40,12m,5,8,7,-0.1,-0.15,,2.193,74.02,33.75,1.59,2.407,5.2
20,5,35,40,12m,5,8,7,-0.1,-0.15,0.65,2.193,74.02,33.75,1.59,2.407,5.2
20,5,35,40,12m,5,8,7,-0.1,-0.15,0.6,2.193,74.02,33.75,1.59,2.407,5.2
20,10,20,50,6m-1m,5,8,7,-0.08,,0.65,2.193,58.91,26.86,1.373,1.917,5.2
20,10,20,50,6m-1m,5,8,7,-0.08,,0.6,2.193,58.91,26.86,1.373,1.917,5.2
20,5,25,50,6m-1m,5,8,5,-0.12,-0.2,,2.192,66.54,30.36,1.485,2.167,4.7
20,5,25,50,6m-1m,5,8,5,-0.12,-0.2,0.6,2.192,66.54,30.36,1.485,2.167,4.7
20,5,25,50,6m-1m,5,8,5,-0.12,-0.2,0.65,2.192,66.54,30.36,1.485,2.167,4.7
20,5,25,50,6m-1m,5,8,7,-0.12,-0.15,0.6,2.179,67.7,31.07,1.523,2.222,5.2
20,5,25,50,6m-1m,5,8,7,-0.12,-0.15,0.65,2.179,67.7,31.07,1.523,2.222,5.2
