defense,offense,rule,boost_pct,approx_calmar,calmar,cagr,mdd,sharpe,sortino
31,1,KP_MA200_7d,53.3022533022533,5.03316993628939,3.471,111.93,32.25,1.914,2.991
15,0,KK_MA200_1d,44.83294483294483,4.906023446886846,3.47,102.02,29.4,1.841,2.838
31,2,KK_MA60+VIX_lt25_3d,49.261849261849264,5.081216162594175,3.46,99.15,28.66,1.847,2.915
17,4,KP_MA200_7d,53.3022533022533,4.869297980147466,3.449,116.71,33.84,2.087,3.267
12,0,KK_MA60+VIX_lt25_3d,49.261849261849264,4.738662661380332,3.432,94.07,27.41,1.783,2.77
17,0,KP_MA200_1d,54.07925407925408,5.229914185442141,3.424,120.02,35.05,1.986,3.136
15,0,KP_MA200_1d,54.07925407925408,5.223756163518848,3.417,120.57,35.29,1.985,3.162
5,0,Breadth30_3d,70.55167055167055,4.757829174030076,3.411,104.38,30.6,1.798,2.951
17,1,KP_MA200_1d,54.07925407925408,4.888786370414886,3.402,119.26,35.05,1.97,3.124
15,1,KP_MA200_1d,54.07925407925408,4.88286649971035,3.395,119.81,35.29,1.969,3.15
12,0,KK_MA60_3d,50.660450660450664,4.834160102887733,3.356,91.99,27.41,1.765,2.752
14,0,KP_MA200_1d,54.07925407925408,4.93133139872503,3.352,118.72,35.41,1.97,3.122
14,0,KP_MA20_7d,56.72105672105672,4.830717779233353,3.344,103.78,31.03,1.845,2.948
31,2,KK_MA60_3d,50.660450660450664,4.865157995795958,3.332,94.85,28.47,1.796,2.822
17,0,KP_MA200_5d,53.45765345765345,5.700617141091369,3.32,117.79,35.48,2.0,3.057
15,0,KP_MA200_5d,53.45765345765345,5.666941988611793,3.314,117.57,35.48,1.989,3.067
12,2,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.873503786856709,3.312,94.3,28.47,1.802,2.813
31,2,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.82573099562551,3.3,93.95,28.47,1.786,2.808
17,1,KP_MA200_5d,53.45765345765345,5.332837195117716,3.299,117.04,35.48,1.983,3.046
12,2,KK_MA60+VIX_lt25_3d,49.261849261849264,4.980178446799524,3.299,94.54,28.66,1.809,2.843
15,1,KP_MA200_5d,53.45765345765345,5.300464372948952,3.292,116.82,35.48,1.973,3.056
31,2,KP_MA200_7d,53.3022533022533,4.7632280816296655,3.252,97.74,30.05,1.794,2.861
15,0,KP_MA200_7d,53.3022533022533,5.309675052048014,3.242,107.42,33.13,1.872,2.9
14,0,KK_MA60+VIX_lt25_3d,49.261849261849264,4.746570805943169,3.234,84.85,26.24,1.662,2.596
12,2,KK_MA60_3d,50.660450660450664,4.835653384119194,3.227,91.88,28.47,1.773,2.762
17,0,KP_MA200_7d,53.3022533022533,5.32218064658931,3.225,106.72,33.09,1.872,2.877
15,1,KP_MA200_7d,53.3022533022533,4.958685505072987,3.221,106.71,33.13,1.856,2.888
17,1,KP_MA200_7d,53.3022533022533,4.970707466620023,3.203,106.01,33.09,1.856,2.866
31,2,KK_MA60+VIX_lt25_1d,46.23154623154623,4.808528042380066,3.191,90.29,28.3,1.736,2.739
14,0,KP_MA120_1d,58.04195804195804,4.889001386932527,3.161,103.15,32.63,1.81,2.873
31,2,KP_MA200_5d,53.45765345765345,4.77168678548312,3.152,103.95,32.97,1.856,2.952
5,1,KP_MA20_7d,56.72105672105672,4.898199874113675,3.149,108.75,34.53,1.907,3.02
5,2,KK_MA60+VIX_lt25_3d,49.261849261849264,4.927738612629959,3.146,92.05,29.26,1.767,2.792
14,0,KP_MA120+VIX_lt25_1d,55.08935508935509,4.8640400218091555,3.146,102.68,32.63,1.799,2.895
5,0,KK_MA120_1d,49.728049728049726,5.150834684713608,3.135,114.11,36.4,1.931,3.041
5,0,KP_MA20_7d,56.72105672105672,5.1730734259354465,3.13,108.09,34.53,1.899,3.012
5,1,KK_MA120_1d,49.728049728049726,4.725294602740306,3.124,113.4,36.3,1.914,3.029
12,0,KK_MA120_1d,49.728049728049726,5.161709627660785,3.121,117.32,37.59,1.981,3.126
15,0,KP_MA200_3d,54.234654234654236,4.993111132330437,3.115,115.69,37.14,1.975,3.071
12,1,KK_MA120_1d,49.728049728049726,4.73558207003216,3.11,116.61,37.5,1.963,3.113
17,2,KP_MA200_5d,53.45765345765345,4.725501249930806,3.107,97.66,31.43,1.794,2.814
5,2,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.77840596459084,3.103,88.35,28.47,1.722,2.697
31,0,KP_MA20_7d,56.72105672105672,4.866694997433939,3.1,109.14,35.21,1.91,3.036
14,0,KK_MA60+HY_lt5.0_3d,50.19425019425019,4.822933413635499,3.096,81.24,26.24,1.626,2.536
5,2,KK_MA60_3d,50.660450660450664,4.725036579959425,3.088,87.92,28.47,1.715,2.687
15,2,KK_MA60+VIX_lt25_3d,49.261849261849264,4.839507257618106,3.079,88.25,28.66,1.727,2.721
14,0,KK_MA60_3d,50.660450660450664,4.812696163799126,3.053,80.1,26.24,1.61,2.514
15,0,KK_MA200_3d,44.83294483294483,4.716964539961441,3.039,88.71,29.2,1.712,2.588
17,0,KP_MA200_3d,54.234654234654236,4.998131934370853,3.036,112.77,37.14,1.954,3.01
31,0,KK_MA200_3d,44.83294483294483,4.768886944523684,3.005,90.43,30.09,1.732,2.591
14,0,KK_MA120_1d,49.728049728049726,4.936234441436233,2.982,108.75,36.47,1.881,2.973
17,2,KK_MA60+VIX_lt25_3d,49.261849261849264,4.741493895318347,2.941,88.46,30.08,1.735,2.722
12,0,KP_MA200_7d,53.3022533022533,4.95233031460022,2.907,101.7,34.98,1.817,2.774
12,0,KQ_MA120_1d,54.39005439005439,5.312095219222422,2.894,103.65,35.82,1.813,2.832
