v,q,g,m,mom,g_sub,cal,cagr,mdd,sharpe,sortino
35,5,30,30,6m-1m,raccel+opm 5:5,0.426,30.26,71.0,0.837,1.298
35,5,10,50,6m,rev+oca 7:3,0.426,31.66,74.29,0.648,1.509
10,5,20,65,6m,rev+oca 7:3,0.425,31.19,73.39,0.826,1.197
10,10,30,50,6m-1m,rev+opm 7:3,0.425,25.45,59.89,0.735,1.093
30,15,0,55,6m-1m,raccel+opm 5:5,0.423,29.4,69.49,0.843,1.214
30,15,0,55,6m-1m,rev+oca 7:3,0.423,29.4,69.49,0.843,1.214
10,0,30,60,6m-1m,rev+opm 7:3,0.423,31.37,74.16,0.829,1.232
30,15,0,55,6m-1m,rev+opm 7:3,0.423,29.4,69.49,0.843,1.214
20,0,25,55,6m-1m,rev+oca 7:3,0.422,30.97,73.34,0.833,1.255
20,15,15,50,6m,rev+oca 7:3,0.422,26.3,62.35,0.748,1.099
0,10,25,65,6m,rev+opm 7:3,0.422,27.22,64.51,0.756,1.102
20,20,35,25,6m,raccel+opm 5:5,0.421,22.33,53.09,0.678,1.023
0,20,30,50,6m,rev+oca 7:3,0.421,23.27,55.31,0.694,1.029
5,20,15,60,6m,rev+oca 7:3,0.421,28.18,66.99,0.778,1.141
10,0,20,70,6m,rev+oca 7:3,0.42,30.0,71.36,0.801,1.182
15,0,30,55,6m-1m,rev+oca 7:3,0.42,28.47,67.75,0.784,1.178
25,0,20,55,6m,rev+oca 7:3,0.42,29.85,71.12,0.718,1.279
10,20,30,40,6m,rev+oca 7:3,0.419,22.79,54.43,0.687,1.03
30,20,15,35,6m-1m,raccel+opm 5:5,0.418,28.31,67.72,0.469,1.864
0,0,30,70,6m-1m,rev+oca 7:3,0.418,30.23,72.39,0.813,1.227
5,10,20,65,6m,rev+oca 7:3,0.417,29.99,71.96,0.799,1.169
5,20,20,55,6m,rev+oca 7:3,0.417,27.11,65.03,0.757,1.133
25,15,25,35,6m,raccel+opm 5:5,0.416,25.05,60.23,0.726,1.087
35,10,0,55,6m-1m,raccel+opm 5:5,0.416,28.06,67.46,0.822,1.205
20,15,15,50,6m-1m,rev+oca 7:3,0.416,29.79,71.67,0.831,1.179
35,10,0,55,6m-1m,rev+oca 7:3,0.416,28.06,67.46,0.822,1.205
35,10,0,55,6m-1m,rev+opm 7:3,0.416,28.06,67.46,0.822,1.205
10,20,25,45,6m-1m,raccel+opm 5:5,0.415,24.94,60.07,0.73,1.107
0,15,20,65,6m,rev+oca 7:3,0.415,27.41,66.1,0.759,1.113
15,20,15,50,6m-1m,rev+oca 7:3,0.415,28.35,68.24,0.796,1.152
35,15,25,25,6m,raccel+opm 5:5,0.414,25.6,61.77,0.745,1.103
5,20,10,65,6m,raccel+opm 5:5,0.413,28.33,68.54,0.778,1.141
35,0,15,50,6m-1m,raccel+opm 5:5,0.413,29.86,72.35,0.839,1.273
15,20,15,50,6m,rev+opm 7:3,0.413,25.15,60.84,0.728,1.032
35,15,15,35,6m-1m,raccel+opm 5:5,0.412,28.17,68.46,0.467,1.891
0,15,30,55,6m-1m,rev+oca 7:3,0.412,23.35,56.63,0.7,1.042
10,5,30,55,6m-1m,rev+oca 7:3,0.411,28.54,69.37,0.785,1.16
5,5,20,70,6m,rev+opm 7:3,0.411,27.99,68.07,0.767,1.112
5,15,25,55,6m,rev+opm 7:3,0.411,25.48,62.06,0.729,1.047
15,15,15,55,6m-1m,rev+oca 7:3,0.41,27.58,67.31,0.779,1.087
