v,q,g,m,mom,calmar,cagr,mdd,sharpe,sortino
15,15,35,35,12m-1m,1.288,56.25,43.68,1.307,1.937
5,35,20,40,12m-1m,1.287,49.83,38.71,1.209,1.799
25,5,35,35,12m,1.287,50.49,39.23,1.244,1.831
20,20,20,40,12m,1.286,45.99,35.77,1.162,1.632
30,0,15,55,12m-1m,1.285,40.54,31.56,1.096,1.461
0,5,60,35,12m,1.284,59.66,46.48,1.318,2.041
20,30,15,35,12m,1.284,40.37,31.44,1.08,1.549
15,10,15,60,6m-1m,1.284,49.2,38.3,1.244,1.759
0,0,70,30,12m,1.283,55.22,43.03,1.258,1.956
20,15,35,30,12m-1m,1.283,55.04,42.89,1.318,1.947
5,5,30,60,12m-1m,1.282,48.86,38.11,1.205,1.75
15,10,30,45,6m,1.281,52.72,41.17,1.242,1.806
0,35,25,40,6m-1m,1.281,54.53,42.58,1.265,1.832
0,20,50,30,12m-1m,1.281,57.67,45.0,1.298,1.969
5,0,60,35,12m,1.279,61.31,47.96,1.358,2.1
0,5,50,45,12m-1m,1.279,56.15,43.9,1.3,1.969
5,30,30,35,12m,1.277,54.02,42.31,1.248,1.907
25,10,25,40,12m,1.276,42.1,32.98,1.083,1.496
15,5,50,30,12m-1m,1.275,58.17,45.64,1.334,2.032
20,5,35,40,6m,1.275,46.32,36.33,1.151,1.632
0,5,65,30,12m,1.274,55.97,43.92,1.252,1.901
10,25,10,55,6m-1m,1.273,44.36,34.84,1.163,1.64
10,35,20,35,12m,1.272,51.06,40.14,1.237,1.844
0,5,70,25,12m,1.271,57.73,45.43,1.268,1.986
20,10,15,55,12m-1m,1.271,45.86,36.08,1.181,1.632
30,0,20,50,12m,1.271,42.42,33.39,1.114,1.505
0,20,20,60,6m-1m,1.27,40.56,31.93,1.064,1.503
5,0,35,60,12m-1m,1.27,53.96,42.49,1.286,1.867
15,30,15,40,12m,1.269,46.2,36.4,1.201,1.687
25,20,25,30,12m-1m,1.269,50.87,40.08,1.258,1.826
20,25,15,40,12m,1.268,43.06,33.97,1.131,1.585
25,5,25,45,6m,1.267,45.19,35.67,1.13,1.628
10,15,20,55,6m,1.266,52.56,41.53,1.251,1.805
10,10,50,30,12m-1m,1.266,58.79,46.44,1.329,2.035
15,15,45,25,12m,1.266,55.17,43.57,1.294,1.923
15,20,35,30,6m,1.265,45.56,36.01,1.128,1.674
5,30,25,40,6m,1.264,49.94,39.53,1.203,1.796
0,15,35,50,12m-1m,1.264,48.83,38.63,1.201,1.783
15,30,20,35,12m,1.263,50.35,39.87,1.233,1.785
10,20,15,55,12m-1m,1.263,42.91,33.97,1.128,1.625
5,5,50,40,12m-1m,1.261,60.52,47.99,1.356,2.103
30,5,20,45,12m-1m,1.261,38.07,30.19,1.041,1.374
10,25,30,35,6m,1.261,52.02,41.24,1.243,1.861
5,10,45,40,6m,1.26,51.63,40.97,1.229,1.84
5,30,25,40,12m-1m,1.259,50.7,40.26,1.217,1.855
5,5,50,40,12m,1.259,54.92,43.63,1.26,1.89
15,5,20,60,6m-1m,1.259,48.01,38.14,1.205,1.705
