v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
20,5,25,50,0.5,6m-1m,6,7,4,78.38,37.43,2.094,1.587
15,5,30,50,0.6,6m-1m,4,7,6,73.67,35.2,2.093,1.523
15,10,25,50,0.5,6m-1m,4,9,6,71.29,34.12,2.09,1.534
20,5,25,50,0.5,6m-1m,5,9,7,67.84,32.49,2.088,1.538
15,10,25,50,0.5,6m-1m,4,9,7,71.46,34.24,2.087,1.538
15,10,25,50,0.6,6m-1m,4,9,5,73.12,35.07,2.085,1.547
15,5,30,50,0.6,6m-1m,4,7,7,73.72,35.46,2.079,1.523
15,5,25,55,0.7,6m-1m,4,9,7,74.93,36.14,2.073,1.586
25,10,20,45,0.4,6m-1m,4,8,6,64.57,31.24,2.067,1.449
15,5,25,55,0.7,6m-1m,6,8,7,63.91,30.98,2.063,1.49
15,10,25,50,0.6,6m-1m,4,8,4,76.08,36.89,2.062,1.534
10,15,25,50,0.3,6m-1m,4,7,7,72.39,35.15,2.06,1.514
15,10,25,50,0.5,6m-1m,5,9,6,68.03,33.09,2.056,1.545
15,10,25,50,0.5,6m-1m,4,7,4,77.69,37.83,2.054,1.552
20,5,25,50,0.5,6m-1m,5,7,4,79.6,38.75,2.054,1.598
15,10,25,50,0.5,6m-1m,5,8,4,82.06,39.96,2.054,1.633
15,5,25,55,0.7,6m-1m,4,7,4,75.13,36.64,2.05,1.522
15,10,25,50,0.5,6m-1m,5,9,7,67.53,33.13,2.038,1.546
20,10,20,50,0.6,6m-1m,5,7,5,70.77,34.76,2.036,1.535
15,15,25,45,0.3,6m-1m,5,9,7,60.84,29.95,2.031,1.439
10,15,25,50,0.3,6m-1m,4,7,6,71.36,35.15,2.03,1.501
15,5,30,50,0.6,6m-1m,6,9,4,67.55,33.28,2.03,1.457
25,5,35,35,0.3,6m-1m,4,8,6,62.53,30.94,2.021,1.428
15,5,25,55,0.7,6m-1m,6,8,6,64.67,32.11,2.014,1.494
25,10,25,40,0.4,6m,6,8,7,57.8,28.7,2.014,1.397
25,5,35,35,0.3,6m-1m,4,8,5,63.3,31.47,2.012,1.428
25,10,25,40,0.4,6m,5,9,5,56.11,27.88,2.012,1.306
20,10,20,50,0.6,6m-1m,5,9,6,60.82,30.23,2.012,1.426
10,15,25,50,0.3,6m-1m,5,8,6,59.17,29.42,2.011,1.397
15,10,25,50,0.6,6m-1m,6,8,4,76.5,38.06,2.01,1.566
15,5,30,50,0.6,6m-1m,5,9,4,66.86,33.28,2.009,1.439
15,5,30,50,0.6,6m-1m,4,9,7,71.67,35.68,2.009,1.52
15,10,25,50,0.7,6m-1m,6,8,4,69.38,34.57,2.007,1.472
15,5,25,55,0.7,6m-1m,6,9,6,60.5,30.17,2.005,1.442
20,10,20,50,0.6,6m-1m,5,7,4,72.15,36.05,2.002,1.51
15,5,30,50,0.6,6m-1m,4,8,5,69.78,34.88,2.001,1.481
15,10,25,50,0.7,6m-1m,5,7,5,73.66,36.83,2.0,1.574
25,10,20,45,0.4,6m-1m,4,8,5,65.18,32.62,1.998,1.456
15,10,25,50,0.7,6m-1m,4,9,5,65.3,32.69,1.997,1.437
15,5,30,50,0.6,6m-1m,5,8,4,68.76,34.45,1.996,1.47
20,10,20,50,0.6,6m-1m,4,7,4,75.56,37.87,1.995,1.547
25,5,35,35,0.3,6m-1m,4,8,7,62.14,31.16,1.994,1.424
20,5,25,50,0.6,6m-1m,4,9,6,71.61,35.95,1.992,1.545
25,10,20,45,0.4,6m-1m,5,9,7,65.52,32.89,1.992,1.522
20,5,25,50,0.5,6m-1m,5,7,5,77.13,38.77,1.989,1.621
15,15,25,45,0.3,6m-1m,5,8,6,67.89,34.16,1.987,1.521
20,15,25,40,0.4,6m,4,8,5,66.09,33.26,1.987,1.408
15,10,25,50,0.7,6m-1m,4,8,5,64.01,32.23,1.986,1.418
20,5,25,50,0.6,6m-1m,4,8,5,70.2,35.46,1.98,1.511
20,15,25,40,0.4,6m,6,8,5,67.74,34.26,1.977,1.492
15,15,25,45,0.3,6m-1m,5,7,7,69.93,35.43,1.974,1.541
20,15,25,40,0.4,6m,4,8,7,66.04,33.52,1.97,1.411
20,5,25,50,0.6,6m-1m,5,8,5,71.4,36.38,1.963,1.556
15,5,30,50,0.6,6m-1m,6,8,4,70.51,35.96,1.961,1.497
15,5,30,50,0.6,6m-1m,4,9,6,69.79,35.68,1.956,1.494
10,15,25,50,0.3,6m-1m,5,8,5,60.45,31.01,1.95,1.406
20,15,25,40,0.4,6m,4,8,6,65.07,33.52,1.941,1.399
15,15,25,45,0.3,6m-1m,5,7,6,70.38,36.28,1.94,1.544
15,5,25,55,0.7,6m-1m,4,9,6,70.03,36.14,1.938,1.51
10,15,25,50,0.3,6m-1m,5,9,7,56.77,29.39,1.931,1.365
15,10,25,50,0.5,6m-1m,4,8,5,72.46,37.63,1.926,1.533
15,5,25,55,0.7,6m-1m,6,7,5,70.07,36.52,1.919,1.533
25,10,25,40,0.4,6m,6,8,6,57.29,29.88,1.917,1.381
15,5,30,50,0.6,6m-1m,6,9,5,68.8,35.89,1.917,1.522
15,10,25,50,0.7,6m-1m,4,7,4,68.32,35.66,1.916,1.448
20,5,25,50,0.5,6m-1m,4,9,5,73.5,38.37,1.915,1.547
20,15,25,40,0.4,6m,5,9,7,58.39,30.49,1.915,1.37
15,10,25,50,0.6,6m-1m,6,9,5,80.32,41.96,1.914,1.665
25,10,25,40,0.4,6m,6,7,5,62.41,32.64,1.912,1.41
25,10,20,45,0.4,6m-1m,4,9,5,61.06,31.97,1.91,1.401
20,5,25,50,0.6,6m-1m,4,8,4,72.9,38.2,1.909,1.51
15,10,25,50,0.7,6m-1m,4,8,4,67.77,35.56,1.906,1.435
10,15,25,50,0.3,6m-1m,4,8,4,71.56,37.54,1.906,1.495
15,5,30,50,0.6,6m-1m,6,9,7,59.96,31.48,1.905,1.44
25,10,20,45,0.4,6m-1m,6,7,7,69.41,36.51,1.901,1.559
25,10,20,45,0.4,6m-1m,4,9,7,62.26,32.97,1.889,1.431
15,5,25,55,0.7,6m-1m,4,9,5,67.66,35.86,1.887,1.466
20,10,20,50,0.6,6m-1m,4,7,5,68.67,36.41,1.886,1.479
20,10,20,50,0.6,6m-1m,5,8,5,67.61,35.93,1.882,1.494
15,10,25,50,0.7,6m-1m,4,7,7,65.9,35.04,1.881,1.457
20,5,25,50,0.6,6m-1m,5,7,4,72.74,38.74,1.878,1.5
25,10,20,45,0.4,6m-1m,4,9,6,61.9,32.97,1.877,1.424
15,5,25,55,0.7,6m-1m,4,8,5,75.47,40.44,1.866,1.572
20,15,25,40,0.4,6m,4,7,7,68.03,36.5,1.864,1.422
15,10,25,50,0.7,6m-1m,4,7,6,65.3,35.04,1.864,1.446
20,15,25,40,0.4,6m,4,7,6,68.03,36.5,1.864,1.422
