sub1,sub2,ratio,config,calmar,cagr,mdd,sharpe,sortino
gp_growth_z,op_margin_z,0.65,방어_M50_6m,0.986,39.14,39.69,1.036,1.478
gp_growth_z,op_margin_z,0.65,밸런스_G30_6m,0.838,36.41,43.44,0.976,1.395
gp_growth_z,op_margin_z,0.7,공격_G50_12m1m,0.321,19.86,61.92,0.662,1.012
gp_growth_z,op_margin_z,0.7,공격_G40_12m,0.38,16.93,44.57,0.593,0.83
gp_growth_z,op_margin_z,0.7,방어_M50_6m1m,1.556,51.1,32.84,1.274,1.843
gp_growth_z,op_margin_z,0.7,방어_M50_6m,1.165,42.2,36.24,1.092,1.564
gp_growth_z,op_margin_z,0.7,밸런스_G30_6m,0.801,36.62,45.71,0.98,1.41
gp_growth_z,op_margin_z,0.75,공격_G50_12m1m,0.344,20.53,59.73,0.677,1.04
gp_growth_z,op_margin_z,0.75,공격_G40_12m,0.32,16.45,51.43,0.582,0.819
gp_growth_z,op_margin_z,0.75,방어_M50_6m1m,1.293,46.79,36.18,1.197,1.712
gp_growth_z,op_margin_z,0.75,방어_M50_6m,1.307,44.76,34.23,1.137,1.638
gp_growth_z,op_margin_z,0.75,밸런스_G30_6m,0.759,33.17,43.71,0.913,1.305
gp_growth_z,op_margin_z,0.8,공격_G50_12m1m,0.299,18.06,60.45,0.623,0.96
gp_growth_z,op_margin_z,0.8,공격_G40_12m,0.271,14.33,52.96,0.538,0.759
gp_growth_z,op_margin_z,0.8,방어_M50_6m1m,1.145,43.19,37.72,1.135,1.615
gp_growth_z,op_margin_z,0.8,방어_M50_6m,1.365,45.34,33.22,1.147,1.643
gp_growth_z,op_margin_z,0.8,밸런스_G30_6m,0.807,32.63,40.45,0.904,1.286
gp_growth_z,op_margin_z,0.85,공격_G50_12m1m,0.321,18.01,56.18,0.623,0.961
gp_growth_z,op_margin_z,0.85,공격_G40_12m,0.23,13.28,57.69,0.514,0.726
gp_growth_z,op_margin_z,0.85,방어_M50_6m1m,1.193,43.53,36.5,1.14,1.611
gp_growth_z,op_margin_z,0.85,방어_M50_6m,1.305,42.92,32.9,1.105,1.59
gp_growth_z,op_margin_z,0.85,밸런스_G30_6m,0.832,33.89,40.75,0.928,1.306
gp_growth_z,op_margin_z,0.9,공격_G50_12m1m,0.186,11.41,61.41,0.474,0.729
gp_growth_z,op_margin_z,0.9,공격_G40_12m,0.261,15.35,58.88,0.561,0.839
gp_growth_z,op_margin_z,0.9,방어_M50_6m1m,1.001,39.69,39.67,1.076,1.509
gp_growth_z,op_margin_z,0.9,방어_M50_6m,1.126,40.6,36.04,1.069,1.532
gp_growth_z,op_margin_z,0.9,밸런스_G30_6m,0.963,36.35,37.77,0.972,1.367
gp_growth_z,op_margin_z,0.95,공격_G50_12m1m,0.179,11.34,63.26,0.471,0.723
gp_growth_z,op_margin_z,0.95,공격_G40_12m,0.292,16.41,56.18,0.584,0.879
gp_growth_z,op_margin_z,0.95,방어_M50_6m1m,0.986,40.51,41.09,1.09,1.531
gp_growth_z,op_margin_z,0.95,방어_M50_6m,0.971,36.88,37.96,0.996,1.427
gp_growth_z,op_margin_z,0.95,밸런스_G30_6m,0.826,35.06,42.43,0.947,1.335
gp_growth_z,op_margin_z,1.0,공격_G50_12m1m,0.304,18.27,60.16,0.627,0.954
gp_growth_z,op_margin_z,1.0,공격_G40_12m,0.27,14.56,53.88,0.543,0.817
gp_growth_z,op_margin_z,1.0,방어_M50_6m1m,0.89,36.78,41.34,1.018,1.413
gp_growth_z,op_margin_z,1.0,방어_M50_6m,0.973,37.93,38.99,1.016,1.458
gp_growth_z,op_margin_z,1.0,밸런스_G30_6m,0.987,36.78,37.28,0.98,1.368
gp_growth_z,cfo_growth_z,0.0,공격_G50_12m1m,0.3,15.59,52.01,0.572,0.792
