regime,atk,def,cal,cagr,mdd,sharpe,sortino,switches
BU126_50pct_10d,V25Q0G40M35,V30Q15G25M30,1.739,78.87,45.35,0.634,3.678,17
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.738,80.18,46.12,0.637,3.782,26
BU126_60pct_3d,V20Q0G45M35,V30Q15G25M30,1.738,80.18,46.12,0.637,3.782,26
BS126_30pct_10d,V20Q0G45M35,V20Q0G35M45,1.73,75.93,43.9,0.928,2.814,14
BS126_60pct_3d,V25Q0G40M35,V30Q15G25M30,1.73,78.47,45.35,0.634,3.744,28
BS126_60pct_3d,V25Q0G40M35,V30Q15G25M30,1.73,78.47,45.35,0.634,3.744,28
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.729,78.42,45.35,0.633,3.771,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.729,78.42,45.35,0.633,3.771,10
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.726,78.26,45.35,0.632,3.751,20
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.726,78.26,45.35,0.632,3.751,20
DUAL_KP200+BU126_50_AND_5d,V20Q0G45M35,V20Q0G35M45,1.724,86.43,50.15,0.788,3.43,23
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.719,79.3,46.12,0.634,3.803,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.719,79.3,46.12,0.634,3.803,10
DUAL_KP200+BU126_50_AND_5d,V20Q0G45M35,V20Q0G35M45,1.717,85.7,49.92,0.785,3.425,23
BU126_30pct_5d,V25Q0G40M35,V30Q15G25M30,1.717,83.77,48.79,0.768,3.266,24
BU126_30pct_5d,V25Q0G40M35,V30Q15G25M30,1.717,83.77,48.79,0.768,3.266,24
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.715,77.77,45.35,0.63,3.749,20
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.715,77.77,45.35,0.63,3.749,20
DUAL_KP200+BS126_50_AND_5d,V25Q0G40M35,V20Q0G35M45,1.714,80.38,46.91,0.751,3.479,20
DUAL_KP200+KD200_OR_5d,V25Q0G40M35,V20Q0G35M45,1.71,80.2,46.91,0.752,3.375,25
DUAL_KP200+BU126_50_AND_5d,V20Q0G45M35,V20Q0G35M45,1.704,85.44,50.15,0.784,3.395,23
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.701,77.15,45.35,0.629,3.753,16
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.701,77.15,45.35,0.629,3.753,16
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.698,78.32,46.12,0.631,3.778,10
BU126_60pct_10d,V20Q0G45M35,V30Q15G25M30,1.698,78.32,46.12,0.631,3.778,10
KD_MA200_3d,V25Q0G40M35,V20Q0G35M45,1.691,76.77,45.4,0.737,3.334,25
BU126_60pct_3d,V25Q0G40M35,V30Q15G25M30,1.684,76.39,45.35,0.627,3.691,26
BU126_60pct_3d,V25Q0G40M35,V30Q15G25M30,1.684,76.39,45.35,0.627,3.691,26
BS126_60pct_3d,V25Q0G40M35,V30Q15G25M30,1.682,77.57,46.12,0.63,3.749,28
BS126_60pct_3d,V25Q0G40M35,V30Q15G25M30,1.682,77.57,46.12,0.63,3.749,28
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.681,76.22,45.35,0.625,3.712,20
BU126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.681,76.22,45.35,0.625,3.712,20
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.681,77.53,46.12,0.629,3.772,16
BS126_60pct_5d,V20Q0G45M35,V30Q15G25M30,1.681,77.53,46.12,0.629,3.772,16
