v,q,g,m,gr,mom,e,x,s,cagr,mdd,cal,sh
10,0,65,25,0.7,12m-1m,5,7,3,102.46,36.79,2.785,1.673
10,0,65,25,0.7,12m-1m,6,9,3,101.21,36.37,2.783,1.651
20,5,50,25,0.8,12m,6,8,3,97.02,35.05,2.768,1.602
20,5,50,25,0.8,12m,5,8,3,96.78,35.05,2.761,1.6
10,0,60,30,0.7,12m-1m,4,8,3,103.1,37.52,2.748,1.686
20,5,60,15,0.6,12m,6,8,3,94.2,34.4,2.738,1.596
20,5,60,15,0.7,12m,4,9,3,93.73,34.32,2.731,1.596
15,0,60,25,0.7,12m-1m,5,8,3,94.08,34.51,2.726,1.597
10,0,65,25,0.6,12m-1m,6,8,2,127.42,46.83,2.721,1.735
10,0,65,25,0.6,12m-1m,5,8,2,127.42,46.83,2.721,1.735
25,0,50,25,0.5,12m,5,8,3,84.61,31.21,2.711,1.524
20,0,55,25,0.6,12m,5,8,3,96.88,35.77,2.708,1.596
25,0,50,25,0.5,12m,4,8,3,85.47,31.67,2.699,1.539
20,5,60,15,0.7,12m,6,8,3,92.26,34.21,2.697,1.594
15,5,60,20,0.6,12m-1m,5,9,3,95.74,35.73,2.68,1.603
20,5,50,25,0.8,12m,6,7,3,94.71,35.34,2.68,1.576
0,0,75,25,0.4,12m,5,8,3,97.44,36.38,2.679,1.602
15,0,60,25,0.7,12m-1m,6,8,3,93.8,35.04,2.677,1.594
15,5,65,15,0.6,12m-1m,5,8,3,92.43,34.56,2.674,1.572
20,5,50,25,0.8,12m,5,7,3,96.0,35.9,2.674,1.591
10,0,65,25,0.6,12m-1m,4,7,2,124.91,46.83,2.668,1.736
15,5,60,20,0.6,12m-1m,6,9,3,96.17,36.07,2.666,1.612
15,0,70,15,0.8,12m-1m,5,8,3,100.03,37.52,2.666,1.659
20,5,60,15,0.7,12m,5,9,3,92.6,34.77,2.663,1.589
15,5,65,15,0.6,12m-1m,5,9,3,93.3,35.12,2.657,1.585
15,0,70,15,0.8,12m-1m,6,8,3,99.49,37.54,2.65,1.652
15,5,65,15,0.6,12m-1m,6,8,3,91.54,34.56,2.649,1.575
25,0,50,25,0.5,12m,6,8,3,82.2,31.21,2.634,1.498
10,0,65,25,0.6,12m-1m,5,7,2,125.19,47.62,2.629,1.738
10,0,65,25,0.6,12m-1m,6,7,2,125.19,47.62,2.629,1.738
15,5,65,15,0.6,12m-1m,6,9,3,93.0,35.43,2.625,1.597
10,0,65,25,0.7,12m-1m,6,7,2,126.74,48.42,2.618,1.734
10,0,65,25,0.6,12m-1m,5,9,2,123.93,47.43,2.613,1.709
10,0,65,25,0.6,12m-1m,6,9,2,123.93,47.43,2.613,1.709
10,0,60,30,0.7,12m-1m,4,9,3,97.32,37.52,2.594,1.634
10,0,65,25,0.6,12m-1m,6,8,3,103.84,40.19,2.583,1.679
20,0,55,25,0.6,12m,6,8,2,109.59,43.02,2.547,1.558
20,0,55,25,0.6,12m,5,8,2,109.59,43.02,2.547,1.558
10,0,65,25,0.6,12m-1m,4,8,3,101.77,39.97,2.546,1.653
15,5,60,20,0.6,12m-1m,4,8,3,97.27,38.27,2.542,1.618
10,0,65,25,0.7,12m-1m,5,7,2,122.73,48.42,2.535,1.706
15,0,65,20,0.7,12m-1m,4,9,3,97.04,38.42,2.526,1.628
20,5,60,15,0.7,12m,6,9,3,91.49,36.3,2.52,1.591
15,0,65,20,0.7,12m-1m,5,7,2,111.97,44.48,2.517,1.609
15,0,65,20,0.7,12m-1m,6,7,2,111.97,44.48,2.517,1.609
20,0,55,25,0.6,12m,4,7,2,92.91,37.08,2.506,1.442
