combo,ratio,v,q,g,m,cagr,mdd,calmar,sharpe,sortino
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,25,5,45,25,46.72,58.67,0.796,0.978,1.174
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,20,10,40,30,99.06,57.17,1.733,1.429,1.905
rev_z+oca_z+op_margin_z,0.6/0.3/0.1,15,5,55,25,150.86,50.28,3.0,1.79,2.13
rev_z+oca_z+cfo_growth_z,0.5/0.3/0.2,15,5,60,20,45.54,69.92,0.651,0.946,1.071
rev_z+oca_z+cfo_growth_z,0.5/0.3/0.2,10,0,70,20,79.66,53.76,1.482,1.3,1.56
rev_z+oca_z+cfo_growth_z,0.5/0.3/0.2,10,5,65,20,70.53,56.58,1.247,1.221,1.449
rev_z+oca_z+cfo_growth_z,0.5/0.3/0.2,20,5,55,20,34.54,75.65,0.457,0.824,0.887
rev_z+oca_z+cfo_growth_z,0.5/0.3/0.2,15,0,60,25,33.61,69.69,0.482,0.799,0.924
rev_z+oca_z+cfo_growth_z,0.5/0.3/0.2,10,5,55,30,60.4,68.36,0.883,1.111,1.236
rev_z+oca_z+cfo_growth_z,0.5/0.3/0.2,15,10,50,25,74.6,53.4,1.397,1.276,1.522
