atk,def,rule,as,ds,cagr,mdd,cal,sh,sort,alpha,sw
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,7,169.68,28.48,5.957,2.416,3.716,157.02,15
V10Q0G60M30g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,5,179.38,30.13,5.953,2.436,3.887,166.72,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,KP200_4d,3,7,161.04,27.07,5.948,2.364,3.604,148.39,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP200_3d,3,5,161.01,27.07,5.947,2.347,3.644,148.35,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_4d,3,7,160.73,27.07,5.937,2.368,3.695,148.08,15
V25Q0G50M25g0.612m,V15Q5G30M50g0.66m-1m,KP200_5d,3,5,160.64,27.07,5.934,2.383,3.719,147.99,15
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,7,160.52,27.07,5.929,2.366,3.608,147.86,15
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,B35_5d,3,5,170.48,28.75,5.929,2.395,3.778,157.83,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_4d,3,5,166.78,28.14,5.927,2.384,3.72,154.13,19
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_5d,3,5,168.78,28.48,5.926,2.371,3.752,156.13,15
V15Q0G65M20g0.712m-1m,V15Q5G30M50g0.66m-1m,KP200_4d,3,7,160.69,27.12,5.925,2.351,3.707,148.03,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,5,168.75,28.48,5.925,2.393,3.77,156.1,25
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_5d,3,5,160.23,27.07,5.918,2.329,3.642,147.57,15
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,7,168.56,28.48,5.918,2.412,3.703,155.91,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,5,168.57,28.48,5.918,2.402,3.766,155.92,25
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,5,172.48,29.22,5.903,2.399,3.815,159.83,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,7,167.82,28.48,5.892,2.377,3.745,155.17,21
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,7,149.82,25.44,5.89,2.258,3.431,137.17,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,5,163.81,27.82,5.887,2.357,3.705,151.15,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_3d,3,5,167.45,28.48,5.879,2.35,3.736,154.8,19
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,7,167.86,28.56,5.878,2.364,3.752,155.2,15
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_4d,3,5,171.05,29.1,5.878,2.42,3.798,158.39,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,B35_5d,3,7,159.33,27.15,5.869,2.322,3.642,146.68,15
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,5,158.74,27.07,5.863,2.323,3.562,146.09,15
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP200_4d,3,5,158.69,27.07,5.862,2.371,3.73,146.04,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,7,166.91,28.48,5.86,2.371,3.729,154.25,21
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,5,158.66,27.07,5.86,2.34,3.644,146.0,25
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP200_3d,3,5,166.9,28.48,5.86,2.41,3.717,154.24,19
V25Q0G50M25g0.612m,V15Q10G25M50g0.66m-1m,KP200_5d,3,5,158.4,27.07,5.851,2.385,3.686,145.75,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,7,158.35,27.07,5.849,2.323,3.615,145.69,21
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B45_4d,3,7,146.12,25.0,5.844,2.253,3.377,133.46,17
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP150_3d,3,5,158.17,27.07,5.842,2.317,3.632,145.51,25
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B45_4d,3,5,165.75,28.41,5.833,2.397,3.691,153.09,17
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_4d,3,5,165.83,28.48,5.822,2.369,3.67,153.18,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,B40_3d,3,5,163.67,28.14,5.817,2.364,3.702,151.01,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.76m-1m,B40_3d,3,5,168.84,29.1,5.802,2.407,3.789,156.18,21
V10Q0G60M30g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_4d,3,5,164.92,28.48,5.79,2.363,3.654,152.27,21
V10Q0G65M25g0.712m-1m,V25Q10G20M45g0.36m-1m,B40_4d,3,5,147.59,25.49,5.79,2.229,3.349,134.93,19
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.66m-1m,B35_3d,3,5,156.64,27.07,5.786,2.273,3.579,143.99,19
V15Q0G65M20g0.712m-1m,V25Q10G20M45g0.46m-1m,KP150_4d,3,5,156.43,27.07,5.778,2.315,3.542,143.77,21
V10Q0G65M25g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,5,164.37,28.48,5.771,2.363,3.702,151.72,25
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.66m-1m,KP150_3d,3,5,164.2,28.48,5.765,2.372,3.698,151.54,25
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,7,155.99,27.07,5.762,2.303,3.536,143.33,15
V10Q0G60M30g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_3d,3,7,166.8,28.98,5.756,2.408,3.74,154.14,19
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.46m-1m,KP150_5d,3,7,155.73,27.07,5.752,2.307,3.527,143.07,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.76m-1m,KP150_4d,3,7,155.73,27.07,5.752,2.288,3.592,143.08,21
V25Q0G50M25g0.612m,V15Q5G30M50g0.66m-1m,KP200_5d,3,7,155.68,27.07,5.75,2.357,3.684,143.03,15
V15Q0G65M20g0.712m-1m,V15Q10G25M50g0.76m-1m,KP200_3d,3,5,155.36,27.07,5.738,2.316,3.581,142.7,19
V15Q5G60M20g0.612m-1m,V25Q10G20M45g0.36m-1m,KP200_5d,3,5,155.26,27.07,5.735,2.29,3.512,142.6,15
V15Q5G60M20g0.612m-1m,V15Q10G25M50g0.66m-1m,KP200_3d,3,5,155.26,27.07,5.735,2.303,3.554,142.6,19
V25Q0G50M25g0.612m,V15Q10G25M50g0.76m-1m,KP200_5d,3,7,155.22,27.07,5.733,2.352,3.628,142.56,15
